,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,numMeas,xSensitivity,ySensitivity,xFracErr,yFracErr
0,3347620.0000000843,0.010000000000000007,0.010164495915951281,-1.5164199013936092e-07,-1.8799742599365355e-07,4.355252375296315e-07,4.6201447025566743e-07,100,4.390927325555893e-08,4.657989451437512e-08,-2.872062264082516,-2.4575574256599886
1,3347620.0000000843,0.02999999999999995,0.028461077141994237,-5.3486632427549386e-08,-1.899698341439605e-07,3.2790916216527853e-07,2.771058140500411e-07,100,5.531962376346736e-08,4.674889007276666e-08,-6.130675035663344,-1.458683244625293
2,3347620.0000000843,0.049999999999999906,0.04743530952329184,-4.904473364495456e-08,-1.800435529793487e-07,2.1247260160008166e-07,2.5813150078337804e-07,100,4.627578610188895e-08,5.6220133920582594e-08,-4.33222052215059,-1.4337169896496442
3,3347620.0000000843,0.07000000000000003,0.07115309999965481,-4.965988135766003e-08,-1.6762726507289256e-07,1.954315356359836e-07,1.6737916260654021e-07,84,5.213046006081854e-08,4.464761903895573e-08,-3.9354007761002903,-0.9985199158010216
4,3347620.0000000843,0.08999999999999993,0.07115309999965488,-5.628627242842791e-08,-1.6720141986997174e-07,1.919072014065596e-07,1.8960164187745546e-07,65,5.119036017269111e-08,5.05753628102712e-08,-3.4094849974402477,-1.1339714819700921
5,3347620.0000000843,0.11000000000000004,0.14227173705132848,-4.644168457278425e-08,-2.024348482682117e-07,1.1350847666335856e-07,1.1573122509392972e-07,54,4.281417819479991e-08,4.365257502811241e-08,-2.444107652586676,-0.5716961584627669
6,3347620.0000000843,0.12999999999999992,0.14227173705132848,-1.6215514343303736e-08,-1.8328937325110297e-07,1.3451820936679632e-07,1.2191170458406418e-07,46,5.073882370350375e-08,4.598378550682146e-08,-8.295648631234826,-0.665132421054479
7,3347620.0000000843,0.15000000000000008,0.1499967483198128,1.0338592163799892e-09,-1.6378124105044124e-07,1.3291091861854707e-07,1.0694137638750688e-07,40,5.147561948396482e-08,4.1417768045179897e-08,128.55804398971125,-0.6529525341340596
8,3347620.0000000843,0.16999999999999996,0.16998760222041123,-1.8476920743189575e-08,-1.6777917023382029e-07,1.0111283884308323e-07,1.2630095539428077e-07,35,4.168837125528749e-08,5.2073319062334496e-08,-5.472385807594726,-0.752780903721632
9,3347620.0000000843,0.1900000000000001,0.1899894348108226,-3.2404775425087577e-08,-2.2315103172009515e-07,8.35289151120457e-08,9.052360025572199e-08,32,3.6408397674088905e-08,3.945722547191675e-08,-2.5776730131997194,-0.40566068441605224
10,3347620.0000000843,0.20999999999999996,0.20997394281585682,-4.25179066666965e-08,-1.8337506198938885e-07,9.623052574077593e-08,1.09438758921851e-07,29,4.409563084936386e-08,5.0148028153042034e-08,-2.2632940632552714,-0.5968028462244434
11,3347620.0000000843,0.2300000000000001,0.23002672886447773,-2.259540024225531e-08,-2.3598201311772026e-07,9.324745959756804e-08,9.711674649997085e-08,26,4.472250905047788e-08,4.657826168179265e-08,-4.126833718271005,-0.4115430037098798
12,3347620.0000000843,0.24999999999999997,0.24995188069090887,-6.614662827745778e-08,-2.3171009160144764e-07,9.300873049050424e-08,1.0902238645343007e-07,24,4.649988951402202e-08,5.4505946892341297e-08,-1.4060993419100825,-0.4705120338088414
13,3347620.0000000843,0.26999999999999985,0.26998046907289264,-6.839954029149602e-08,-1.993380869946382e-07,1.2018259345993285e-07,8.896610148016964e-08,23,6.244644870775099e-08,4.622647034707356e-08,-1.7570672689868199,-0.4463075913965335
14,3347620.0000000843,0.29,0.2899939667518697,-8.1646992716619e-10,-1.8582238776858159e-07,9.681283685689706e-08,9.544711070296123e-08,21,5.2134765869843245e-08,5.139930747827672e-08,-118.5748961911136,-0.5136469929652857
15,3347620.0000000843,0.3099999999999999,0.31004675981755,-3.2745511430208875e-08,-2.0093495659296453e-07,7.310537466940438e-08,7.699259359024473e-08,20,4.070641967422976e-08,4.287089479624234e-08,-2.2325311615674486,-0.38317172330650867
16,3347620.0000000843,0.33,0.3300611208379777,-1.0881977255800197e-08,-2.1721794870743716e-07,9.414471787215737e-08,9.340965370904486e-08,19,5.408703112560263e-08,5.36647298094144e-08,-8.651434905543232,-0.4300273263092769
17,3347620.0000000843,0.34999999999999987,0.35008286295145286,-3.762065275748419e-08,-1.9051613323483985e-07,8.54860571316595e-08,8.87314467873941e-08,18,5.05802198365494e-08,5.2500445517206344e-08,-2.2723172211479783,-0.4657424296871448
18,3347620.0000000843,0.37000000000000005,0.37008761348746183,-2.1847405254705776e-08,-1.813755414594371e-07,7.311761400896335e-08,6.833650890728777e-08,17,4.448097374101613e-08,4.1572396739931286e-08,-3.3467413249550235,-0.3767680490843391
19,3347620.0000000843,0.3899999999999999,0.38989164746290866,-8.978354741309352e-08,-2.177134577882429e-07,8.021704964621741e-08,7.857633829766941e-08,16,5.008857201832909e-08,4.906409045355601e-08,-0.8934493229270535,-0.36091631218358583
20,3347620.0000000843,0.4100000000000001,0.4099071960417324,-4.936884410922274e-08,-1.656980160645281e-07,6.750751447489775e-08,7.870291929104016e-08,15,4.3221007822027277e-08,5.0388753263302256e-08,-1.3674112832284537,-0.4749780423465706
