,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,numMeas,xSensitivity,ySensitivity,xFracErr,yFracErr
0,3347620.0000000843,0.17999999999999997,0.18001468185815359,-0.00017530794346565993,0.0005091840376855064,1.6895660007192775e-06,3.1452329504802006e-06,11,7.168513793404727e-07,1.334463748642543e-06,-0.009637703616380834,0.006177006185772912
1,3347620.0000000843,0.18444444444444444,0.18445808893295904,-0.0001788925520549338,0.0005082150903003823,1.605473229132562e-06,2.2376950635921664e-06,11,6.895280224719658e-07,9.61058349710163e-07,-0.008974511295694178,0.004403047265419783
2,3347620.0000000843,0.18888888888888886,0.1888812641328206,-0.00017675739934294515,0.0005078980543166444,8.265367377815471e-07,2.113409129941337e-06,11,3.5921676890682504e-07,9.184975867779998e-07,-0.004676108275263196,0.004161089242180383
3,3347620.0000000843,0.19333333333333333,0.19332922069165218,-0.00017708055034833963,0.0005088621083791,1.7477004585705582e-06,3.2750224771118377e-06,11,7.684502395980054e-07,1.4400018005853495e-06,-0.009869522401712736,0.006435972384628727
4,3347620.0000000843,0.1977777777777778,0.19779016587800857,-0.00017793048353041156,0.0005116005868461133,1.3492493389123644e-06,4.974292161400819e-06,10,6.000598392135971e-07,2.2122471128855623e-06,-0.007583013950961096,0.00972299932661543
5,3347620.0000000843,0.20222222222222225,0.20225108830165311,-0.00018443656622054572,0.0005114820486855506,4.798421082043805e-06,2.691919977384785e-06,10,2.1579619864767287e-06,1.2106192604837823e-06,-0.026016647242857172,0.0052629803612906974
6,3347620.0000000843,0.2066666666666666,0.2066977494021101,-0.0001824689786801723,0.0005133088787036974,5.0274790067664005e-06,4.088393758636097e-06,10,2.285694270938714e-06,1.8587483267218197e-06,-0.027552513545759782,0.007964782859320231
7,3347620.0000000843,0.21111111111111108,0.21111469370816743,-0.00023313951274432095,0.0004900213589279366,2.2313944132172455e-05,8.38643742477071e-06,10,1.0252636785833073e-05,3.853334772821275e-06,-0.09571069214957,0.01711443240580057
8,3347620.0000000843,0.21555555555555556,0.21556497218923515,-0.0002915466012449994,0.0004698332440569819,1.4422869120392871e-05,8.394909703267476e-06,10,6.696390301827139e-06,3.89767052951969e-06,-0.04947020153485755,0.017867849517794725
9,3347620.0000000843,0.22,0.220040656749066,-0.0003184508144962067,0.00045381054256995345,4.4180030362839766e-06,2.0216637502725803e-06,9,2.072418575300293e-06,9.48331966878903e-07,-0.013873423571779253,0.004454862901209368
