,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,numMeas,xSensitivity,ySensitivity,xFracErr,yFracErr
0,3347620.0000000843,0.010000000000000007,0.010164495915951272,-0.00031290967748550416,0.0004454986079343502,4.578229968162993e-06,3.871166005433538e-06,161,4.6157313830792763e-07,3.9028756844119024e-07,-0.014631154922893313,0.008689513135367649
1,3347620.0000000843,0.030000000000000023,0.028461077141994258,-0.00030971275157499974,0.000448597313511918,3.1419084575513405e-06,3.1485588023776035e-06,62,5.3005287386081e-07,5.311748143740207e-07,-0.010144588627925766,0.007018675118066562
2,3347620.0000000843,0.05000000000000003,0.04743530952329179,-0.00030917592383126124,0.00044861658521298586,1.9987623284011404e-06,3.242770995532616e-06,39,4.353234124355406e-07,7.062641292881834e-07,-0.0064648058737329225,0.007228379650727967
3,3347620.0000000843,0.07000000000000002,0.07115309999965481,-0.00030109834471399256,0.00045054565945972224,3.1088248358061528e-06,3.85371290557169e-06,28,8.292646752821885e-07,1.0279601296484734e-06,-0.010324948278142029,0.00855343476217909
4,3347620.0000000843,0.09000000000000002,0.07115309999965481,-0.0002964474799721749,0.00045451321301612777,1.6235369749506186e-06,2.0646122792987674e-06,22,4.3307099416938685e-07,5.507257956951899e-07,-0.005476642861335866,0.004542469217997206
5,3347620.0000000843,0.10999999999999993,0.14227173705132848,-0.00029661474923993393,0.00045462711138426947,1.910093106632918e-06,2.2349433521705904e-06,18,7.2046660337606e-07,8.429966267532839e-07,-0.006439643043805045,0.004915992241125991
6,3347620.0000000843,0.12999999999999995,0.14227173705132848,-0.0002844704909358717,0.00045820977621482414,6.201176936814182e-06,2.861497521584723e-06,16,2.339017333283892e-06,1.0793261295934095e-06,-0.021799016539160526,0.006244950828467608
7,3347620.0000000843,0.14999999999999997,0.14999674831981277,-0.0002807777648075068,0.000461985333851029,2.8614995920458934e-06,2.708643028176235e-06,14,1.1082420141600039e-06,1.0490415632176467e-06,-0.010191332614987001,0.005863049819346991
8,3347620.0000000843,0.16999999999999996,0.16998760222041123,-0.00028439901325602915,0.00045879346949072634,1.8865401222352485e-06,1.4922892420156284e-06,12,7.77812055359164e-07,6.152641806246223e-07,-0.006633427101720981,0.003252638368353655
9,3347620.0000000843,0.18999999999999997,0.18998943481082248,-0.00027342796306770905,0.0004634061586646662,3.1388401209346155e-06,2.519494607656848e-06,11,1.3681506482524927e-06,1.0981917039176846e-06,-0.011479587112154084,0.005436903589967231
