,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,numMeas,xSensitivity,ySensitivity,xFracErr,yFracErr
0,3347620.0000000843,0.00999999999999982,0.010164495915951451,-3.421970040374319e-08,7.36974430846036e-08,4.52466208491596e-06,4.48244840343803e-06,1606,4.561724712040975e-07,4.519165247848927e-07,-132.22389534482951,60.8223055756798
1,3347620.0000000843,0.029999999999999902,0.028461077141994206,2.1061725206488418e-07,-5.10081380919278e-08,2.6943319081214348e-06,2.8642069024679284e-06,613,4.545448698870338e-07,4.832034798264917e-07,12.792550855669699,-56.15195946391931
2,3347620.0000000843,0.05000000000000036,0.04743530952329192,3.4512418365824596e-08,5.144562025036374e-08,2.1103665647721425e-06,2.169675580285492e-06,383,4.5963042299349526e-07,4.725477181889259e-07,61.148034959552454,42.17415534552043
3,3347620.0000000843,0.0700000000000002,0.07115309999965518,-8.28376858935036e-08,-6.632880137976936e-08,1.8557525099450765e-06,1.7641122452593505e-06,277,4.950134162720228e-07,4.7056879865892513e-07,-22.402273674458243,-26.5964740589661
4,3347620.0000000843,0.08999999999999989,0.07115309999965509,-5.3094544505104605e-09,-1.405903599599379e-07,1.7056009451276233e-06,1.9481934823903116e-06,217,4.549611794244068e-07,5.196716189840738e-07,-321.2384551041103,-13.85723376016294
5,3347620.0000000843,0.10999999999999971,0.1422717370513284,1.1454585280090612e-07,-6.694891839915737e-08,1.1904528542012704e-06,1.3546171467744937e-06,179,4.490260298659641e-07,5.109470377242444e-07,10.392806243892693,-20.233592702694704
6,3347620.0000000843,0.13000000000000012,0.14227173705132853,3.430108410263757e-08,-2.849895881799849e-07,1.348787232286955e-06,1.191209804951927e-06,152,5.087480565990711e-07,4.493115435586502e-07,39.322000093380154,-4.179836226857592
7,3347620.0000000843,0.1499999999999999,0.1499967483198126,-6.70049526506073e-09,1.3477090439850135e-07,1.2104316812632097e-06,1.089236927768677e-06,132,4.6879309302543635e-07,4.218550755985753e-07,-180.6480914291399,8.08213710986115
8,3347620.0000000843,0.1700000000000003,0.16998760222041157,-6.588463478822462e-08,-1.0643656013678353e-07,1.2222641864902244e-06,1.1318897038436488e-06,117,5.039340578452374e-07,4.666730628253877e-07,-18.551581721883906,-10.634407034472337
9,3347620.0000000843,0.19000000000000014,0.18998943481082262,1.8259284412869113e-08,6.837275147738449e-09,9.882491104990758e-07,9.776294490779412e-07,105,4.3075582351154264e-07,4.261269491191696e-07,54.12310187810862,142.98524309078152
10,3347620.0000000843,0.2100000000000005,0.20997394281585702,3.391910581185221e-08,-9.175163792193924e-08,9.347787913818998e-07,9.754566848475969e-07,95,4.2834287969731733e-07,4.4698267575148224e-07,27.55906351326231,-10.63149069532142
11,3347620.0000000843,0.23000000000000032,0.2300267288644772,2.3249848943581406e-08,2.639027573429669e-08,1.0469800936500686e-06,9.607298194985715e-07,87,5.021431888441119e-07,4.6077660703058313e-07,45.03169445060453,36.40469046899768
12,3347620.0000000843,0.24999999999999994,0.24995188069090837,1.5628869398805546e-07,-2.1906500166486495e-08,9.401767152250448e-07,9.656166253370704e-07,80,4.700431147814032e-07,4.827618456276071e-07,6.01564125487477,-44.07900020535057
13,3347620.0000000843,0.2699999999999997,0.2699804690728924,-4.5453086526579556e-08,-2.1003671450993076e-08,7.988134912513927e-07,7.465196130207745e-07,74,4.150606528982907e-07,3.8788893950248713e-07,-17.574460884724985,-35.54233909831408
14,3347620.0000000843,0.2899999999999995,0.2899939667518698,-1.0775836045762623e-08,-5.2707222655327145e-08,8.934910336074235e-07,7.254118447075194e-07,69,4.811546418455014e-07,3.906421700971293e-07,-82.9161681574369,-13.763044382954252
15,3347620.0000000843,0.3099999999999999,0.3100467598175495,-1.271592788850092e-07,1.710945166988528e-07,7.736447451814931e-07,8.100080022069169e-07,64,4.307796494927253e-07,4.510273810431427e-07,-6.084060494563705,4.734272131190679
16,3347620.0000000843,0.3299999999999997,0.3300611208379781,4.98296063143187e-08,-1.260624815498745e-07,7.247333110510989e-07,7.271404686652824e-07,61,4.1636614393822086e-07,4.1774907876181205e-07,14.544231123954203,-5.768095786513623
17,3347620.0000000843,0.3500000000000001,0.3500828629514529,5.386532825017667e-08,1.1463567639983774e-07,7.248819416393456e-07,7.943289918787979e-07,57,4.288967019170688e-07,4.69986994135149e-07,13.457301109772187,6.929160422173094
18,3347620.0000000843,0.3699999999999999,0.370087613487462,4.182880528753212e-08,1.6917931104221988e-07,6.966506481464919e-07,6.483666915739037e-07,54,4.238062142326916e-07,3.944327529466823e-07,16.65480625988957,3.832423052084065
19,3347620.0000000843,0.3900000000000003,0.389891647462909,-9.982782226498109e-08,1.1298685130475403e-07,8.328308990773635e-07,6.76205074194562e-07,51,5.200304754600678e-07,4.22231267633651e-07,-8.342673216557934,5.984812094379604
20,3347620.0000000843,0.4100000000000001,0.4099071960417326,-1.6460981314759607e-07,8.838372651991934e-08,6.475811828281424e-07,7.889336515014057e-07,49,4.146073453618323e-07,5.051068431097714e-07,-3.93403753060271,8.926232040279508
21,3347620.0000000843,0.42999999999999977,0.4298584444584343,-5.6183608062530576e-08,6.784820017907843e-08,8.143115638828762e-07,6.951032073831951e-07,47,5.338919019535133e-07,4.5573462284416087e-07,-14.49375702209394,10.24497636707445
22,3347620.0000000843,0.4499999999999996,0.45010661563149523,2.1707397321445591e-07,-1.6699662505244297e-07,7.459669536757627e-07,6.260473735288808e-07,45,5.00469121162866e-07,4.2001509221346025e-07,3.4364642735810276,-3.748862429598678
23,3347620.0000000843,0.4699999999999999,0.47007103400916467,7.594312802481042e-08,7.831457604164541e-08,5.914958590429296e-07,6.420375522534323e-07,43,4.0553977311128783e-07,4.4019203057664386e-07,7.788668631738338,8.198187166486292
24,3347620.0000000843,0.4899999999999997,0.48982192919562817,-4.338144211750158e-08,1.8525629849521217e-07,6.382057625049662e-07,6.220264459611044e-07,41,4.4666285079607546e-07,4.3533938730516536e-07,-14.711492549656201,3.3576534294038067
25,3347620.0000000843,0.5100000000000002,0.5099633495187619,9.609989529661176e-08,-2.8257462677052928e-08,6.144362025431225e-07,5.734124167687846e-07,40,4.3877944943204395e-07,4.0948365914302884e-07,6.393723954086202,-20.29242410481661
26,3347620.0000000843,0.53,0.5298982910648887,1.3654089564756052e-07,-2.670972523631957e-08,7.373835219726932e-07,5.576185991462293e-07,38,5.367717954028298e-07,4.0591351405980635e-07,5.400459096709225,-20.876987472262954
27,3347620.0000000843,0.5500000000000004,0.5498944632344567,-2.1428710620993617e-07,6.868381859298299e-08,5.739022366679025e-07,6.438848001167149e-07,37,4.255764531797939e-07,4.774719315976796e-07,-2.678193041188642,9.374621465535359
28,3347620.0000000843,0.5700000000000002,0.5697831291020374,-4.306935220697333e-08,2.701179886347147e-08,6.800134296521999e-07,6.413982174466283e-07,35,5.133012036854482e-07,4.841529044881417e-07,-15.78880096418305,23.745113040731336
29,3347620.0000000843,0.59,0.5899677637362223,7.881290646468962e-08,-1.263441721423528e-09,5.969532447227067e-07,5.190662731227329e-07,34,4.5851596108765835e-07,3.9869147741983266e-07,7.57430821295949,-410.83515315443094
30,3347620.0000000843,0.6099999999999995,0.6097156477584774,-7.900794391274629e-08,-3.2537820076173096e-08,5.841187241489736e-07,6.4159313459012e-07,33,4.5610496347519185e-07,5.009834492885169e-07,-7.39316447462618,-19.71838104360126
