,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,numMeas,xSensitivity,ySensitivity,xFracErr,yFracErr
0,3347620.0000000843,0.17999999999999997,0.18001468185815359,-0.0005475165943818748,-3.601733247337278e-05,2.9829213128340078e-06,1.689498126016753e-06,11,1.2655979444773604e-06,7.168225813686228e-07,-0.005448092977349136,-0.0469079193265015
1,3347620.0000000843,0.18444444444444444,0.18445808893295904,-0.0005479892431682763,-2.687685982987515e-05,4.1268766259023e-06,3.4589703826640202e-06,11,1.772435084689434e-06,1.4855788090817735e-06,-0.0075309445894269494,-0.12869696849105783
2,3347620.0000000843,0.18888888888888886,0.1888812641328206,-0.0005495268603996593,-2.1844037338699233e-05,3.1456366164491014e-06,1.8940442965857207e-06,11,1.36710852629335e-06,8.231605944244727e-07,-0.005724263622275618,-0.08670761119924486
3,3347620.0000000843,0.19333333333333333,0.19332922069165218,-0.0005459077581809848,-1.549686233418244e-05,1.6267612627052175e-06,1.303205439063433e-06,11,7.152742198837786e-07,5.73009251661353e-07,-0.0029799196628487873,-0.08409479357565613
4,3347620.0000000843,0.1977777777777778,0.19779016587800857,-0.0005458364441880771,-2.0228439044330182e-05,2.358522896565202e-06,1.3753956928731788e-06,10,1.0489201878989583e-06,6.116880657402043e-07,-0.00432093335224889,-0.06799316990594426
5,3347620.0000000843,0.20222222222222225,0.20225108830165311,-0.0005469413982053176,-1.9000887949016094e-05,3.4717329919856622e-06,7.453355135752255e-07,10,1.5613193789802092e-06,3.351947813594912e-07,-0.006347541077302765,-0.03922635171446399
6,3347620.0000000843,0.2066666666666666,0.2066977494021101,-0.0005461910748018567,-1.9184444782896598e-05,2.434006477993721e-06,2.3597829207222228e-06,10,1.1065972935322621e-06,1.072852277512141e-06,-0.004456327813259696,-0.12300501512694426
7,3347620.0000000843,0.21111111111111108,0.21111469370816743,-0.0005456604410497941,-2.039814085778125e-05,1.7414399872197585e-06,1.742115228974313e-06,10,8.001432452968905e-07,8.004535001048737e-07,-0.0031914352887107015,-0.0854055887308843
8,3347620.0000000843,0.21555555555555556,0.21556497218923515,-0.0005494134795181819,-2.184320632288706e-05,4.133221342383641e-06,1.596301249155495e-06,10,1.9190123047922963e-06,7.411463082976537e-07,-0.00752297039746521,-0.07307998768857066
9,3347620.0000000843,0.22,0.220040656749066,-0.0005470256473068823,-2.095992796551015e-05,2.218794115236635e-06,1.5152178528332952e-06,9,1.0408028472182828e-06,7.107658365213731e-07,-0.004056106192022634,-0.07229117654061631
