,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,numMeas,xSensitivity,ySensitivity,xFracErr,yFracErr
0,3347620.0000000843,0.17999999999999997,0.18001468185815359,-4.506934905642833e-08,-5.586399078617315e-07,5.590772878359914e-07,6.624859185503898e-07,11,2.3720607823106284e-07,2.810804338536122e-07,-12.404822779579264,-1.1858907844341855
1,3347620.0000000843,0.18444444444444444,0.18445808893295904,-2.517812488479224e-08,1.2732538422958645e-07,4.93415844630394e-07,6.095657169106987e-07,11,2.1191511974830846e-07,2.617998455042663e-07,-19.597005213379514,4.787464185551262
2,3347620.0000000843,0.18888888888888886,0.1888812641328206,-8.545902357154622e-08,-4.2584530587181547e-07,7.645756348610961e-07,8.994786584693718e-07,11,3.322881810152239e-07,3.9091767204836625e-07,-8.946692846554631,-2.1122192638190675
3,3347620.0000000843,0.19333333333333333,0.19332922069165218,-1.9618425901625477e-07,-4.7451154818063696e-07,9.413512935127679e-07,1.032732093816067e-06,11,4.1390481046015843e-07,4.540842345390202e-07,-4.7983018527229175,-2.1764108750898656
4,3347620.0000000843,0.1977777777777778,0.19779016587800857,1.1932401178218207e-07,-5.634120656890034e-07,5.836420827127384e-07,1.1545524497816934e-06,10,2.595666821621041e-07,5.134711112314771e-07,4.891237513687837,-2.049214988624316
5,3347620.0000000843,0.20222222222222225,0.20225108830165311,3.411376731207121e-07,-4.036213139337096e-07,7.98722001033276e-07,1.1060598066621117e-06,10,3.5920393115193077e-07,4.974209175760802e-07,2.34134797756754,-2.740340434161933
6,3347620.0000000843,0.2066666666666666,0.2066977494021101,4.821916082052628e-08,-4.3772014520125545e-08,7.681124075826572e-07,9.222491515272901e-07,10,3.492148106607098e-07,4.192915771874775e-07,15.929609609789841,-21.069378726063828
7,3347620.0000000843,0.21111111111111108,0.21111469370816743,2.38984569096724e-07,-2.913866507753074e-07,7.219806364199001e-07,6.44372662144888e-07,10,3.317300244086061e-07,2.960713184795746e-07,3.0210345343581304,-2.211400764003336
8,3347620.0000000843,0.21555555555555556,0.21556497218923515,-6.079134497561161e-07,9.729152781505489e-08,8.078430982539832e-07,6.470765551644984e-07,10,3.750732703312922e-07,3.0043101219136837e-07,-1.3288784753455862,6.650903420846166
9,3347620.0000000843,0.22,0.220040656749066,5.211481932741803e-09,-1.9019948645116298e-07,8.974994543261306e-07,4.5010828869637054e-07,9,4.210034545453388e-07,2.111390079929829e-07,172.21578543474845,-2.366506330246815
