,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,numMeas,xSensitivity,ySensitivity,xFracErr,yFracErr
0,3347620.0000000843,0.17999999999999997,0.18001468185815359,-0.000228752636303552,0.0004926892147750174,3.8896922993611845e-06,3.8660145608607085e-06,11,1.6503239819101703e-06,1.6402779585547624e-06,-0.01700392337424085,0.00784676109182965
1,3347620.0000000843,0.18444444444444444,0.18445808893295904,-0.0002368832946461461,0.000490695378600402,4.847436102321993e-06,2.3686894388673896e-06,11,2.0819051785118966e-06,1.0173185793418197e-06,-0.02046339362833941,0.0048272095930952975
2,3347620.0000000843,0.18888888888888886,0.1888812641328206,-0.00021632605418555424,0.0004963738123313845,7.869996846047385e-06,3.96243974090142e-06,11,3.4203377891367584e-06,1.7220950208879907e-06,-0.03638025422169849,0.007982773551832852
3,3347620.0000000843,0.19333333333333333,0.19332922069165218,-0.00018315424654242018,0.0005089521903734047,7.803565199953618e-06,3.1079716892439208e-06,11,3.4311666614356036e-06,1.366550874064949e-06,-0.04260652071829654,0.0061066083377373515
4,3347620.0000000843,0.1977777777777778,0.19779016587800857,-0.00017135902730304697,0.0005117410212958824,1.860406152596393e-06,2.431531309123094e-06,10,8.273897081905386e-07,1.0813896618777587e-06,-0.010856773534937735,0.004751487975237405
5,3347620.0000000843,0.20222222222222225,0.20225108830165311,-0.00016923906750165624,0.0005123175837078813,1.8370825523134022e-06,4.058231889222813e-06,10,8.261789130485021e-07,1.8250816257085048e-06,-0.010854955533806778,0.007921320716442127
6,3347620.0000000843,0.2066666666666666,0.2066977494021101,-0.0001881225692640642,0.0005121957554807784,1.4470357734272081e-05,4.6638311317028295e-06,10,6.578806938257636e-06,2.1203653131144925e-06,-0.076919838969243,0.009105563804067589
7,3347620.0000000843,0.21111111111111108,0.21111469370816743,-0.00019412980962084042,0.00050890938473633,1.8317827501871077e-05,6.291836798550074e-06,10,8.41653232480078e-06,2.8909240351760386e-06,-0.09435865381853546,0.012363373494890301
8,3347620.0000000843,0.21555555555555556,0.21556497218923515,-0.00017047009772419968,0.0005161011300423234,2.0390584771963064e-06,3.607044572482386e-06,10,9.467139511270711e-07,1.6747138237063417e-06,-0.011961385042995988,0.006989026689762501
9,3347620.0000000843,0.22,0.220040656749066,-0.00017069204372605244,0.0005145772339951102,2.2276382241798342e-06,4.012827785667184e-06,9,1.0449514853032586e-06,1.8823569776205267e-06,-0.01305062717366617,0.007798300275572076
