,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,xSensitivity,ySensitivity,xFracErr,yFracErr
0,3347620.0000000843,0.009999999999999839,0.010164495915951451,-0.0005639829404822614,-3.477017510935204e-06,5.704617910375069e-06,6.3871344450169065e-06,5.751345847740328e-07,6.439453044260412e-07,-0.010114876711513747,-1.8369578021765487
1,3347620.0000000843,0.029999999999999916,0.028461077141994206,-0.0005633721133069749,-1.1607930170974005e-05,4.271799857911119e-06,3.234653956690983e-06,7.206701983318324e-07,5.456994208626709e-07,-0.007582554686343632,-0.27865897787525784
2,3347620.0000000843,0.05000000000000036,0.04743530952329192,-0.000563628226020888,-1.5493120984004213e-05,4.4271643546731335e-06,2.557068100405742e-06,9.642208415199384e-07,5.569204479599795e-07,-0.007854759840414846,-0.1650453838865502
3,3347620.0000000843,0.0700000000000002,0.07115309999965518,-0.0005657218530463226,-1.9235878198993226e-05,3.4643637272764136e-06,2.4375978376832687e-06,9.241030334905653e-07,6.502179717728647e-07,-0.006123793359972508,-0.12672142194219385
4,3347620.0000000843,0.08999999999999989,0.07115309999965509,-0.0005678037102277612,-2.102232289965524e-05,3.464173675632972e-06,2.5224122164943556e-06,9.240523380919145e-07,6.728418158357281e-07,-0.0061010057053755415,-0.11998732150269285
5,3347620.0000000843,0.10999999999999971,0.1422717370513284,-0.0005698016841235983,-2.386933126367745e-05,3.494798888802128e-06,1.3630497079772506e-06,1.3182006029727976e-06,5.141277092351849e-07,-0.006133360055222398,-0.057104645828575724
6,3347620.0000000843,0.13000000000000012,0.14227173705132853,-0.0005701775937578006,-2.4304123916876614e-05,3.961518429611475e-06,1.2854302870634736e-06,1.4942422006983096e-06,4.848504973822275e-07,-0.006947867599466289,-0.05288938994303266
7,3347620.0000000843,0.1499999999999999,0.1499967483198126,-0.0005697134805711132,-2.4395810962808966e-05,3.03809506851552e-06,1.1395557156539107e-06,1.1766364067638886e-06,4.413432471122223e-07,-0.005332671899337823,-0.04671112255260322
8,3347620.0000000843,0.1700000000000003,0.16998760222041157,-0.0005713537791594693,-2.376891918931967e-05,3.430725660228888e-06,1.2260955774618665e-06,1.4144728467234296e-06,5.055137232079897e-07,-0.006004555820521397,-0.0515839852748879
9,3347620.0000000843,0.19000000000000014,0.18998943481082262,-0.0005716292005129096,-2.2935941056581283e-05,3.0232658607740735e-06,1.5130035660442731e-06,1.3177743968769165e-06,6.594846280591831e-07,-0.00528885833344652,-0.06596649173067738
10,3347620.0000000843,0.2100000000000005,0.20997394281585702,-0.0005725688245501199,-2.029761713479899e-05,3.1600191267077472e-06,1.4947335223059255e-06,1.4480128401625263e-06,6.849304533087762e-07,-0.005519020580959232,-0.07364083736426869
11,3347620.0000000843,0.23000000000000032,0.2300267288644772,-0.0005730025857259496,-1.9333468404692403e-05,3.166367098861649e-06,1.8613082128886534e-06,1.5186245485626993e-06,8.927039273337214e-07,-0.005525921134980759,-0.09627389012293819
12,3347620.0000000843,0.24999999999999994,0.24995188069090837,-0.0005730275137508214,-1.8856327045082636e-05,2.8541607358679946e-06,2.0715018236257447e-06,1.4269430210819972e-06,1.0356512277793797e-06,-0.004980844143391541,-0.10985712215709327
13,3347620.0000000843,0.2699999999999997,0.2699804690728924,-0.0005735624551382199,-1.5805124094472256e-05,3.1760721864009126e-06,1.2720440330438164e-06,1.650275827558347e-06,6.609495616347614e-07,-0.005537447854106014,-0.08048301458694057
14,3347620.0000000843,0.2899999999999995,0.2899939667518698,-0.0005740022834995092,-1.3007107781367826e-05,2.6699826794414264e-06,1.3568656873051229e-06,1.4378147194981076e-06,7.306869338932808e-07,-0.004651519264284789,-0.10431724793184077
15,3347620.0000000843,0.3099999999999999,0.3100467598175495,-0.0005734533725841908,-8.947379848735112e-06,2.803435716068054e-06,2.497044220282873e-06,1.5610046635292173e-06,1.3904002330280721e-06,-0.004888689909407536,-0.27908105640959
16,3347620.0000000843,0.3299999999999997,0.3300611208379781,-0.0005741562044521104,-5.196846777721882e-06,2.6735097101387734e-06,2.3988764301718205e-06,1.535956622688461e-06,1.378177205027771e-06,-0.004656415256698261,-0.4616023009289885
17,3347620.0000000843,0.3500000000000001,0.3500828629514529,-0.0005751748762054045,-3.6460864086764845e-06,2.831705850838633e-06,1.8330868171259974e-06,1.6754580718031161e-06,1.0845971530411803e-06,-0.0049232085196770385,-0.5027546282951098
18,3347620.0000000843,0.3699999999999999,0.370087613487462,-0.0005745515466926245,6.76853059371e-07,2.3453005214772945e-06,2.458322505957955e-06,1.4267595069203768e-06,1.4955162352680155e-06,-0.004081967118490747,3.6319884676926417
