#Procedure: <sagnac.procedures.HysteresisProcedure.sagnacDCHysteresisProcedure>
#Parameters:
#	Bias Magnetic Field: 0 T
#	Bias Magnetic Field Azimuth: 0 deg
#	Bias Magnetic Field Polar: 0 deg
#	End DC current: 0.015 mA
#	DC Current Step: 0.00025 mA
#	EOM Frequency: 5.06e+06 MHz
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 0.2 s
#	50 Ohm Input Impedance: True
#	input range: 1 V
#	Output Voltage: 1 V
#	Time Queued: 07:35pm 2021-01-14
#	Reverses Direction of Current Sweep: False
#	Sample Name: W14_C5R3_20x80_2x05PT_R
#	Saturating Magnetic Field: 0.2 T
#	Saturating Magnetic Field Azimuth: 0 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 0.2 s
#	Settling: 0.5 s
#Data:
RatioR,RatioY1X2,RatioX1Y2,X1,Y1,X2,Y2,applied_current,elapsed_time
0.0005280725404969042,0.778835271487073,-0.0003001990651379834,3.8127824489838737e-06,6.706970176873742e-06,8.611538822667539e-06,-0.012700847176960286,0.0,1.3589980602264404
0.0005342176400004386,0.7689132869611012,-0.0003001258752002983,3.814251091786344e-06,6.789287018498364e-06,8.829717386379135e-06,-0.012708837880908421,0.00025,2.717005729675293
0.0005502132894273224,0.7924464449664783,-0.00029945645269855396,3.808369445435376e-06,6.9973980060456024e-06,8.830121013845426e-06,-0.012717606887800305,0.0005,4.108798027038574
0.0005303101362824987,0.7641003363646102,-0.00029089954212509493,3.6946521471686224e-06,6.735355928199119e-06,8.8147532564168e-06,-0.012700783645715807,0.00075,5.492810964584351
0.0005322729865449742,0.7614957834206729,-0.00029135310662464867,3.7014732829091614e-06,6.762223142331506e-06,8.880184617642003e-06,-0.01270442359716378,0.001,6.883775234222412
0.0005288888867020144,0.763562962094675,-0.0002927099892868411,3.716649227011696e-06,6.7155034519755755e-06,8.79495704395221e-06,-0.012697377482971948,0.00125,8.255778312683105
0.0005303468866808582,0.7794213980751029,-0.0002873489837554348,3.6492216877306283e-06,6.735203248785772e-06,8.641286042979265e-06,-0.01269961577743568,0.0015,9.642749071121216
0.0005352195397352843,0.7990631831030093,-0.0002861296782917302,3.6365592721893395e-06,6.802363278469802e-06,8.512922910619061e-06,-0.012709479470639183,0.00175,11.025734186172485
0.0005383593684753455,0.793079554272292,-0.00028943660403719327,3.6790539678293033e-06,6.843134556657273e-06,8.628560047719734e-06,-0.012711087390164848,0.002,12.381800413131714
0.000528956538562257,0.7789632177188877,-0.0002874519013392882,3.651697734647227e-06,6.719697556127978e-06,8.626463231224074e-06,-0.012703682660067075,0.0022500000000000003,13.773913621902466
0.0005193061436602025,0.7734724194487995,-0.0002909868885187734,3.6925459376841306e-06,6.589857821910866e-06,8.519835557429447e-06,-0.012689733054573356,0.0025,15.15795111656189
0.0004941521852433922,0.7370231335278171,-0.0002926863237002858,3.707086426417651e-06,6.2588003671670996e-06,8.491999887722489e-06,-0.01266573162541667,0.00275,16.539928913116455
0.0005147019296965271,0.7630959367822027,-0.0002909190714080534,3.6929454818999394e-06,6.53366102457582e-06,8.562044049306227e-06,-0.012694064586505169,0.003,17.91193199157715
0.0005151795277207662,0.7675944536447243,-0.00029345861670999673,3.7252994497055333e-06,6.53992874665786e-06,8.52003126860114e-06,-0.01269446265190764,0.0032500000000000003,19.277928829193115
0.0005127272693062246,0.781608549278622,-0.0002933157825493919,3.7238998332475053e-06,6.509521536457844e-06,8.328365321062242e-06,-0.012695872690111491,0.0035,20.63590717315674
0.0005128325747450355,0.7892172938072054,-0.00029416987922536785,3.7344469674780315e-06,6.5103417894047225e-06,8.249111924548256e-06,-0.012694865216356896,0.00375,21.98008704185486
0.0005092784433330484,0.7756577800781785,-0.00029233278750061384,3.7081196794703236e-06,6.459986378027885e-06,8.3283975793768e-06,-0.012684583591098338,0.004,23.350061655044556
0.0005176412553848749,0.7749479334387755,-0.00029118927546630116,3.6974394943255057e-06,6.572864489849558e-06,8.481685292949871e-06,-0.012697718651913072,0.00425,24.73902988433838
0.000506384797176544,0.7418548283564743,-0.000295888947999346,3.7562915335460114e-06,6.428524560800207e-06,8.665475124078033e-06,-0.012694936931386548,0.0045000000000000005,26.10508108139038
0.0004986425222956495,0.7328071483350536,-0.0002949712359552165,3.7434721079499796e-06,6.328260449380817e-06,8.635642356599138e-06,-0.012690973395515505,0.00475,27.494062900543213
0.0004809672112383798,0.7044950643716944,-0.00029835236158536277,3.7818885476468357e-06,6.096699896110788e-06,8.653999445046707e-06,-0.012675912895580631,0.005,28.860053300857544
0.000503109414720878,0.7317824133552768,-0.00029859212041341863,3.792187639241687e-06,6.38960516423645e-06,8.731564256839181e-06,-0.012700226764159673,0.00525,30.227030277252197
0.0005105282471645442,0.7288569237216,-0.0002990077503701736,3.8011119190394858e-06,6.490050772778775e-06,8.904423572791313e-06,-0.012712419374861299,0.0055,31.594053983688354
