queueT, pd.Timestamp.now #now, repeat, magnet.field, magnet.phi, magnet.theta,hall.x_field #Bx,hall.y_field #By,hall.z_field #Bz,purpose



;from pymeasure.adapters import DAQmxAdapter
;from aparatus.drivers.custom_instruments1 import senis3AxHallProbe
;hall = senis3AxHallProbe(DAQmxAdapter('Dev1', ['ai0', 'ai2', 'ai4']))

;from aparatus.sagnac1 import  magnet

;from clerk import pd, np, time,  queueT, Counter, hysteresis
;repeat, chip, device, purpose= None, None, None, None #,define dummy variables

;########################################################################################



;parameters = {
;    'purpose': "'DidCenterCalWork'",
;    "magnet.field": 0.1, #T
;    "magnet.phi": [0,90,-90,170,-170], #degrees
;    "magnet.theta": [0,45,90,-45,-90], #degrees
;}
2026-05-04 18:30:47.316283,2026-05-04 18:30:49.232469,,0.1,0.0,-0.0,-0.07510921630859375,0.006038684082031251,0.0009053955078125001,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:30:52.732155,,0.1,0.0,45.0,-0.05379765014648438,0.058570874023437504,0.012582391357421875,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:30:57.457737,,0.1,0.0,90.0,0.00460577392578125,0.09137455444335939,0.020963751220703125,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:31:06.859052,,0.1,0.0,-45.0,-0.06385601806640626,-0.05214678955078125,-0.012428265380859376,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:31:11.593961,,0.1,0.0,-90.0,-0.00326925048828125,-0.09441072998046876,-0.02087135620117188,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:32:31.022006,,0.1,90.0,-0.0,-0.0005105224609375001,0.0621762939453125,-0.0026893798828125,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:32:34.454770,,0.1,90.0,45.0,-0.000535980224609375,0.05330106201171875,0.026998321533203126,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:32:39.170777,,0.1,90.0,90.0,-0.000547119140625,0.010934002685546874,0.0477734130859375,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:32:48.489295,,0.1,90.0,-45.0,-0.000514581298828125,0.06949508666992188,-0.04030406494140625,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:32:53.282735,,0.1,90.0,-90.0,-0.0008455688476562501,-0.010315521240234375,-0.12995468750000003,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:35:24.653038,,0.1,-90.0,-0.0,-0.0010550903320312502,-0.06200640869140625,0.0029003784179687502,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:35:28.148719,,0.1,-90.0,45.0,-0.0011105651855468752,-0.06773203735351563,0.04055377197265625,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:35:32.990878,,0.1,-90.0,90.0,-0.000687884521484375,0.012154138183593751,0.12723839111328125,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:35:42.386185,,0.1,-90.0,-45.0,-0.001024176025390625,-0.05518131103515626,-0.0270935546875,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:35:47.140689,,0.1,-90.0,-90.0,-0.00092398681640625,-0.011485522460937501,-0.049455480957031256,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:39:22.379342,,0.1,170.0,-0.0,0.0718931640625,0.020726458740234377,-0.0077518188476562505,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:39:25.727511,,0.1,170.0,45.0,0.042474267578125,0.06545635986328126,0.0062294921875000004,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:39:30.414439,,0.1,170.0,90.0,-0.013345263671875,0.08801082153320312,0.023429742431640626,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:39:39.655747,,0.1,170.0,-45.0,0.069294189453125,-0.03941063232421875,-0.022287322998046876,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:39:44.364495,,0.1,170.0,-90.0,0.00922620849609375,-0.09627813720703125,-0.023295098876953125,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:44:23.607273,,0.1,-170.0,-0.0,0.07002710571289063,-0.028481884765625,0.0054817626953125,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:44:27.024382,,0.1,-170.0,45.0,0.07187020263671876,0.03173966064453125,0.02041779174804688,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:44:31.720542,,0.1,-170.0,90.0,0.015388476562500001,0.09614600219726563,0.022365008544921877,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:44:40.955758,,0.1,-170.0,-45.0,0.03777528076171875,-0.06857098999023438,-0.007783312988281251,DidCenterCalWork
2026-05-04 18:30:47.316283,2026-05-04 18:44:45.636129,,0.1,-170.0,-90.0,-0.0190230224609375,-0.08571979980468751,-0.02539754638671875,DidCenterCalWork
;#Scan finished at 2026-05-04T18:44:46.360130
