queueT, pd.Timestamp.now #now, repeat, magnet.volts #Mv, magnet.motion_inst.phi.position #Mphi, magnet.motion_inst.x.position #Mx, magnet.motion_inst.y.position #My, magnet.field, magnet.phi, magnet.theta,hall.x_field #Bx,hall.y_field #By,hall.z_field #Bz,purpose



;from pymeasure.adapters import DAQmxAdapter
;from aparatus.drivers.custom_instruments1 import senis3AxHallProbe
;hall = senis3AxHallProbe(DAQmxAdapter('Dev1', ['ai0', 'ai2', 'ai4']))

;from aparatus.sagnac1 import  magnet

;from clerk import pd, np, time,  queueT, Counter, hysteresis, waitUntil
;repeat, chip, device, purpose= None, None, None, None #,define dummy variables

;def wrapUp():
;    magnet.field =0

;########################################################################################

;parameters = {
;   'purpose': "'XYscan'",
;   "magnet.volts": 5, 
;   "magnet.motion_inst.phi.position": [-90,0,90], #degrees
;   "magnet.motion_inst.x.position": 31.04499272827137 + np.linspace(-5, 5, 20), 
;   "magnet.motion_inst.y.position": 24.73 + np.linspace(-5, 5, 20),
;}

2026-05-04 21:25:43.342253,2026-05-04 21:26:03.862847,,4.99908447265625,-20.87,26.57135,26.17633,0.0,-20.883,0.0,-0.12358633422851562,-0.06832468261718751,0.045726385498046876,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:04.616844,,4.99908447265625,-21.817,26.57132,24.28424,0.0,-21.829,0.0,-0.13582449340820313,-0.038169177246093755,0.053764947509765626,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:05.371842,,4.99908447265625,-22.758,26.57132,22.40161,0.0,-22.77,0.0,-0.139679736328125,-0.012436846923828127,0.05798015136718751,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:06.133856,,4.9993896484375,-23.711,26.57132,21.83896,0.0,-23.723,0.0,-0.13862714233398438,-0.024360906982421878,0.05849612426757812,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:06.891842,,4.99908447265625,-24.659,26.57132,22.36381,0.0,-24.674,0.0,-0.13653451538085937,-0.037250744628906256,0.05862156982421876,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:07.668990,,4.99908447265625,-25.628,26.57132,22.89135,0.0,-25.64,0.0,-0.1333203369140625,-0.049520031738281255,0.05829525756835938,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:08.414040,,4.99908447265625,-26.558,26.57132,23.41697,0.0,-26.57,0.0,-0.12900560302734373,-0.06119047851562501,0.057547467041015626,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:09.168183,,4.99908447265625,-27.501,26.57132,23.94118,0.0,-27.513,0.0,-0.12371010131835938,-0.07181704101562501,0.056275964355468756,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:09.920179,,4.99908447265625,-28.442,26.57132,24.46815,0.0,-28.455,0.0,-0.11745474243164063,-0.08157696533203125,0.05449556274414063,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:10.687187,,4.99908447265625,-29.402,26.57132,24.99756,0.0,-29.415,0.0,-0.11002864379882814,-0.09023663940429688,0.052339453125000004,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:11.434184,,4.998779296875,-30.334,26.57132,25.52063,0.0,-30.346,0.0,-0.10262108154296874,-0.0973732421875,0.049780560302734374,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:12.195180,,4.99908447265625,-31.288,26.57132,26.0476,0.0,-31.299,0.0,-0.09480149536132813,-0.10324295043945314,0.04694808349609375,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:12.986220,,4.99908447265625,-32.275,26.57132,26.57677,0.0,-32.289,0.0,-0.08630096435546875,-0.10812866821289063,0.04396712646484375,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:13.749194,,4.99969482421875,-33.227,26.57132,27.10271,0.0,-33.242,0.0,-0.07861416015625,-0.11159251098632812,0.04084443969726563,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:14.504222,,4.99908447265625,-34.169,26.57132,27.62748,0.0,-34.181,0.0,-0.07103961791992187,-0.1141951171875,0.03771148071289063,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:15.266426,,4.99908447265625,-35.125,26.57132,28.15537,0.0,-35.14,0.0,-0.06380736694335938,-0.11596997680664063,0.034657525634765624,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:16.027438,,4.99908447265625,-36.078,26.57132,28.68199,0.0,-36.092,0.0,-0.057170648193359375,-0.1170847900390625,0.031726666259765626,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:16.796705,,4.998779296875,-37.036,26.57132,29.20715,0.0,-37.048,0.0,-0.0510580322265625,-0.11770535278320314,0.02888601684570313,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:17.531661,,4.9993896484375,-37.954,26.57337,29.72916,0.0,-37.967,0.0,-0.046427612304687504,-0.11781240844726562,0.03317304077148438,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:18.308706,,4.99908447265625,-38.928,27.09761,28.05549,0.0,-38.941,0.0,-0.05778285522460938,-0.11489674072265627,0.04587539672851563,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:19.069728,,4.99908447265625,-39.879,27.09761,26.15633,0.0,-39.891,0.0,-0.07244423217773438,-0.1074138671875,0.05921282958984375,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:19.827711,,4.99969482421875,-40.825,27.09761,24.26124,0.0,-40.837,0.0,-0.08652421264648438,-0.0937398681640625,0.07254594116210937,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:20.615743,,4.99908447265625,-41.809,27.09761,22.29543,0.0,-41.82,0.0,-0.09804027709960939,-0.08065777587890625,0.07792792358398437,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:21.363701,,4.99908447265625,-42.743,27.09761,21.83606,0.0,-42.754,0.0,-0.09595480957031251,-0.08805180664062501,0.07505674438476563,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:22.135794,,4.99908447265625,-43.71,27.09761,22.36303,0.0,-43.723,0.0,-0.08991363525390626,-0.09488840942382813,0.07169120483398438,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:22.897888,,4.9993896484375,-44.662,27.09761,22.89248,0.0,-44.675,0.0,-0.083285498046875,-0.10089725341796876,0.06810838012695312,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:23.643888,,4.9993896484375,-45.595,27.09761,23.41545,0.0,-45.607,0.0,-0.07685690307617188,-0.10573121337890626,0.06432840576171876,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:24.424856,,4.9993896484375,-46.571,27.09761,23.94458,0.0,-46.585,0.0,-0.07030299072265625,-0.10950179443359376,0.060454931640625,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:25.185888,,4.99908447265625,-47.522,27.09761,24.46871,0.0,-47.534,0.0,-0.06417009887695313,-0.1124158447265625,0.056576727294921886,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:25.969890,,4.99908447265625,-48.501,27.09761,24.99724,0.0,-48.513,0.0,-0.0582147216796875,-0.11456525268554688,0.05281380004882813,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:26.731888,,4.998779296875,-49.454,27.09761,25.52166,0.0,-49.466,0.0,-0.052856719970703125,-0.11607488403320312,0.049150299072265625,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:27.492002,,4.9993896484375,-50.402,27.09761,26.04799,0.0,-50.415,0.0,-0.047725567626953125,-0.1170809814453125,0.04569517822265626,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:28.279009,,4.9993896484375,-51.387,27.09761,26.57613,0.0,-51.4,0.0,-0.043027789306640626,-0.11768682250976564,0.04241934204101563,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:29.041159,,4.99908447265625,-52.338,27.09761,27.10023,0.0,-52.348,0.0,-0.03867858276367188,-0.11806238403320313,0.039369396972656255,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:29.819160,,4.99908447265625,-53.309,27.09761,27.62727,0.0,-53.32,0.0,-0.034736517333984376,-0.11817508544921876,0.036511376953125,XYscan
2026-05-04 21:25:43.342253,2026-05-04 21:26:30.591280,,4.99908447265625,-54.277,27.09761,28.15527,0.0,-54.291,0.0,-0.0310917724609375,-0.11810929565429687,0.03384368286132813,XYscan
