#Procedure: <__main__.daedalusCenterCalibrationProcedure>
#Parameters:
#	stage X guess: 31.045 mm
#	stage Y guess: 23 mm
#	Calibration Name: Ysanity
#	Volts to magnet: 5 V
#	Queued Time: 2026-05-04 16:19:35
#	Scaling from Z field difference to mm: 0.2 mm/T
#	Field Tolerance: 0.005 T
#Data:
X,Y,Xfield,Yfield,Zfield,elapsed_time
31.045,22.998033395996092,-0.133487744140625,0.04261824951171875,-0.009872381591796875,73.762366771698
31.045,23.0000062121582,-0.13346832885742188,0.042623046875,-0.009864221191406251,74.86804366111755
31.045,22.99802822265625,-0.13345741577148437,0.042615014648437505,-0.009864270019531251,75.96649193763733
31.045,22.99605286865234,-0.1334401611328125,0.04266956787109375,-0.009882757568359376,77.07678437232971
31.045,22.998028940429684,-0.1334380554199219,0.04265054321289063,-0.009850567626953126,78.22393107414246
31.045,23.000004007568357,-0.1334596435546875,0.04267066650390625,-0.009870391845703125,79.35328435897827
31.045,22.99802707641601,-0.13345855712890625,0.04268259887695313,-0.009879461669921876,80.47032594680786
31.045,22.9960563293457,-0.1334973815917969,0.04267183837890626,-0.0098663818359375,81.5997371673584
31.045,22.998028479003903,-0.1334694030761719,0.04267793579101563,-0.0098801513671875,82.70078015327454
31.045,22.99605028686523,-0.133458203125,0.042657116699218754,-0.009873193359375,83.81924057006836
31.045,22.994077487792964,-0.13342918701171877,0.04271937255859375,-0.00985369873046875,84.95277285575867
31.045,22.996050885009762,-0.13345646972656253,0.042722216796875004,-0.0098545654296875,86.06193900108337
31.045,22.99802270385742,-0.13346798706054688,0.04267708129882813,-0.0098576171875,87.203360080719
31.045,22.999993248291013,-0.13344652709960939,0.042661279296875,-0.00988463134765625,88.31191515922546
31.045,22.998022088623046,-0.13342777709960937,0.042668438720703125,-0.009865264892578126,89.43915224075317
31.045,22.99999401977539,-0.13342960815429689,0.04267461547851563,-0.009870135498046877,90.54095220565796
31.045,22.998019838867187,-0.13346046752929688,0.04267621459960938,-0.009889306640625,91.6896185874939
31.045,22.999999783935547,-0.13344264526367186,0.042672216796875,-0.009899005126953126,92.81648635864258
31.045,23.001977198486326,-0.13344971313476564,0.04261676635742188,-0.009860479736328125,93.9653799533844
31.045,23.003947115478514,-0.133433056640625,0.042587475585937506,-0.009852166748046877,95.06618690490723
31.045,23.00591211425781,-0.13348348999023438,0.042535369873046874,-0.0098514892578125,96.18224310874939
31.045,23.00394501342773,-0.13349268188476562,0.04257084350585938,-0.009825024414062501,97.3220739364624
31.045,23.001979190673826,-0.1334972351074219,0.04257778930664063,-0.009830212402343752,98.43643403053284
31.045,23.00394951660156,-0.1335065185546875,0.04256657714843751,-0.009830908203125,99.5738742351532
31.045,23.00591714233398,-0.13351410522460938,0.04258384399414063,-0.00985142822265625,100.68420219421387
31.045,23.003946109619136,-0.13349264526367188,0.04257932739257813,-0.009854382324218751,101.79450225830078
31.045,23.001976986083978,-0.13347823486328125,0.0425545166015625,-0.009892645263671875,102.8966646194458
31.045,23.00395834228515,-0.13349773559570313,0.04257068481445313,-0.00988460693359375,104.0124237537384
31.045,23.005930462646475,-0.13349732666015626,0.0425840087890625,-0.009870904541015626,105.11452007293701
31.045,23.00395546386718,-0.13349360961914064,0.04259012451171876,-0.00983345947265625,106.23060274124146
31.045,23.001990133056633,-0.13351068725585938,0.042565808105468755,-0.009850122070312502,107.35348463058472
31.045,23.003964614257804,-0.13346630859375,0.04255440673828125,-0.009895330810546875,108.46519899368286
31.045,23.00198759399413,-0.13350882568359376,0.04257899169921875,-0.009867871093750001,109.59893345832825
31.045,23.00001310546874,-0.133488720703125,0.042581616210937506,-0.009866558837890626,110.7067494392395
31.045,23.00198878295897,-0.13349664306640627,0.04260350341796876,-0.009870916748046875,111.8255569934845
31.045,23.003961298828113,-0.13348341064453126,0.04258575439453125,-0.009884521484375,112.94457077980042
31.045,23.00198300537108,-0.13349053955078125,0.042613916015625,-0.009858612060546876,114.05791187286377
31.045,23.00000589111327,-0.13346776123046875,0.042575640869140625,-0.0098700927734375,115.17245435714722
31.045,22.998032971191392,-0.1334798095703125,0.04261257934570313,-0.009894384765625,116.32613706588745
31.045,23.00000952880858,-0.13347396850585938,0.04262237548828125,-0.009862109375,117.4463574886322
31.045,23.00198296997069,-0.13351295166015625,0.042647912597656254,-0.009890643310546876,118.56725215911865
31.045,23.00000439086913,-0.13349663696289063,0.042630139160156254,-0.009850390625,119.7302839756012
31.045,22.998028095703113,-0.13351755371093751,0.042604254150390625,-0.009848974609375,120.84380316734314
31.045,22.996058800048814,-0.13348275756835937,0.042670300292968755,-0.009885760498046875,121.9712119102478
31.045,22.99803400878905,-0.13346148071289063,0.042645050048828126,-0.009864080810546877,123.08963060379028
31.045,23.00000804809569,-0.1334862060546875,0.042651959228515626,-0.0098665283203125,124.18255472183228
31.045,23.001980938720692,-0.13350028076171877,0.04261320190429688,-0.009881536865234375,125.29197382926941
31.045,23.003952783203115,-0.1335070007324219,0.04258941040039063,-0.009830920410156251,126.39712619781494
31.045,23.005923676757803,-0.13352619018554687,0.042572186279296875,-0.009836743164062502,127.52019357681274
31.045,23.007890842285146,-0.13349824829101561,0.0425279052734375,-0.009847540283203126,128.64490413665771
31.045,23.005920688476554,-0.13355347900390624,0.042512512207031256,-0.00987098388671875,129.75630712509155
31.045,23.007893338623038,-0.13354421386718748,0.04253419799804688,-0.009853314208984375,130.859281539917
31.045,23.00986220214843,-0.13356285400390625,0.0424840576171875,-0.009820422363281251,131.96392846107483
31.045,23.007892895507805,-0.13354321899414065,0.042502862548828124,-0.009829779052734376,133.0931122303009
31.045,23.005923829345697,-0.13351555786132813,0.04249332885742188,-0.009847277832031251,134.20316553115845
31.045,23.003958712158198,-0.133546630859375,0.042520776367187506,-0.009855938720703126,135.32170510292053
31.045,23.005925831298825,-0.13356109008789063,0.042525622558593754,-0.009855914306640625,136.418705701828
31.045,23.003955643310544,-0.13357290649414064,0.04252096557617188,-0.009860107421875,137.54655957221985
31.045,23.0019887121582,-0.133552294921875,0.04257788696289063,-0.009831689453125,138.66271448135376
31.045,23.000023521728515,-0.13356318359375,0.04260112915039063,-0.00985050048828125,139.7772397994995
31.045,23.001992561035156,-0.13354227294921875,0.0426086669921875,-0.009841552734375002,140.90411567687988
31.045,23.000015288085937,-0.133521337890625,0.04258839721679688,-0.009876873779296877,142.01863622665405
31.045,22.998046579589843,-0.13351585693359377,0.04267483520507813,-0.0099177978515625,143.14106440544128
