#Procedure: <__main__.daedalusCenterCalibrationProcedure>
#Parameters:
#	stage X guess: 31 mm
#	stage Y guess: 30 mm
#	Calibration Name: Ysanity
#	Volts to magnet: 5 V
#	Queued Time: 2026-05-04 15:00:40
#	Scaling from Z field difference to mm: 0.2 mm/T
#	Field Tolerance: 0.005 T
#Data:
X,Y,Xfield,Yfield,Zfield,elapsed_time
31.0,29.996126623535158,-0.1133237060546875,-0.08082413330078125,0.019365979003906252,73.76640391349792
31.0,29.9922559765625,-0.11335083618164064,-0.08076152954101562,0.019316595458984377,74.90733480453491
31.0,29.988389580078124,-0.11343455810546875,-0.08072711181640625,0.019344708251953127,76.04413509368896
31.0,29.984524571533203,-0.11343713989257814,-0.08069916381835938,0.019328277587890626,77.17609977722168
31.0,29.980661873779297,-0.11348028564453126,-0.08064047241210938,0.019291259765625,78.30351233482361
31.0,29.976801833496094,-0.11350467529296876,-0.08057792968750001,0.01929007568359375,79.43552708625793
31.0,29.972942747802733,-0.11357348632812501,-0.08050266723632814,0.019270794677734376,80.56941604614258
31.0,29.976802747802733,-0.11357059326171876,-0.08050436401367188,0.019326318359375,81.70381307601929
31.0,29.972939798583983,-0.11357940673828125,-0.0804772705078125,0.0193526611328125,82.8390851020813
31.0,29.976807857666014,-0.11357874755859375,-0.08049677734375,0.019310943603515627,83.9881603717804
31.0,29.980670784912107,-0.11357085571289063,-0.08054144897460938,0.019315643310546877,85.1221878528595
31.0,29.976804906005857,-0.11356707763671876,-0.08054636230468751,0.01930322265625,86.24509859085083
31.0,29.972939030761715,-0.11360756835937501,-0.08050473022460938,0.01932216796875,87.37954759597778
31.0,29.969076003417964,-0.1136435729980469,-0.08046270141601564,0.019315850830078127,88.53508973121643
31.0,29.965214046630855,-0.11367041625976562,-0.08040459594726562,0.019321490478515627,89.6738178730011
31.0,29.961355093994136,-0.11372103881835938,-0.08034022827148438,0.019242327880859375,90.81165409088135
31.0,29.957506182861323,-0.11378282470703126,-0.08028195800781252,0.0192474365234375,91.96260190010071
31.0,29.961357038574214,-0.11374584350585937,-0.08027171630859375,0.019228271484375004,93.09995746612549
31.0,29.96520592407226,-0.11372528686523438,-0.08031920166015626,0.019250457763671874,94.23729586601257
31.0,29.961349311523435,-0.11371858520507812,-0.08032496337890625,0.01929442138671875,95.37257862091064
31.0,29.957495488281246,-0.1137633728027344,-0.08027564697265625,0.019257690429687502,96.52043986320496
31.0,29.961351770019526,-0.1137673095703125,-0.08030209960937501,0.0192646728515625,97.6682562828064
31.0,29.96520171264648,-0.11371607055664064,-0.08033845825195313,0.019238006591796877,98.81890082359314
31.0,29.961351336669917,-0.1137080322265625,-0.08034094848632813,0.019274615478515625,99.95384669303894
31.0,29.965202814941403,-0.11371774291992187,-0.08033442993164064,0.019249017333984375,101.10339093208313
