mag/B,mag/phi,mag/theta,mag/Bx,mag/By,mag/Bz,Time,ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaThetaK_DualSideband,DeltaX1_C-M,DeltaY1_C-M,DeltaX1_C+M,DeltaY1_C+M,TX1,TY1,TX2,TY2
-0.1,0.0,90.0,-6.123233995736766e-18,-0.0,-0.1,190559996051456,0.011731631262270786,0.00021733485539610057,2.351776241366532e-05,0.003363740246959179,0.0050287622719545864,0.00010604876882249553,-0.0002818816331781728,9.821253179406986e-07,7.981526370300937e-06,-6.203177701304741e-06,3.286131735433859e-06,8.512373425882096e-06,2.2873789711828184e-07,-9.957563283506507e-07,-2.976866527334513e-06
-0.09000000000000001,0.0,90.0,-5.51091059616309e-18,-0.0,-0.09000000000000001,190560110919680,0.011840923991605008,0.00021970239418688705,2.149950042952482e-05,0.0033546619028292394,0.005036604291042534,-0.00017168425031264652,-0.0001180720370934692,-1.5924597271254067e-06,-4.404537414457542e-06,-5.978980212248701e-07,-6.914521514048027e-06,-2.8748064970761785e-06,4.40664330010039e-06,1.2537569416817084e-06,1.352197249589777e-06
-0.08,0.0,90.0,-4.898587196589413e-18,-0.0,-0.08,190560216449024,0.011658873454079748,0.00021707853811730663,1.8303434793141677e-05,0.0033701819115802495,0.005054188235814219,0.00011832960415140598,-0.00029153375726541836,1.1013998034080837e-06,9.94714661249769e-06,-6.528532349682837e-06,-8.651086926714494e-07,1.1264901034789642e-06,2.358437749255652e-06,1.7786546887947917e-06,-2.857045888237859e-06
-0.07,0.0,90.0,-4.286263797015737e-18,-0.0,-0.07,190560317308928,0.011266113361687898,0.00021002932294943117,1.6116173403317265e-05,0.0033687346316855537,0.005060601541488213,-0.00027022844000495664,2.465177160277753e-05,-2.5184502026575298e-06,1.119770283733506e-06,2.977944837550463e-06,4.235186750184993e-06,-2.6352231151839377e-06,-3.43719735667137e-06,6.456899545530167e-07,4.940842461708662e-06
-0.060000000000000005,0.0,90.0,-3.67394039744206e-18,-0.0,-0.060000000000000005,190560415367168,0.011797119883051783,0.0002198584675682694,1.5328369161076816e-05,0.003376212375402261,0.005058904003238827,-0.0005061744247169869,-0.00021821289871564576,-4.715815512961096e-06,2.326360520326132e-06,6.498188025709344e-07,4.341855157804793e-06,3.6047759830726953e-06,7.766116456186869e-06,2.2589298436909375e-06,3.3222439341845046e-06
-0.05,0.0,90.0,-3.061616997868383e-18,-0.0,-0.05,190560514359296,0.012197078681491388,0.0002258100758690333,2.0975371974019893e-05,0.00335310418196175,0.005025406154836919,0.0006118330252363471,0.000776439939543827,5.662448343932284e-06,2.596800301245455e-06,8.709286650707691e-06,-4.389295750993898e-06,2.688394850045445e-06,4.946020443365531e-06,2.010363666990997e-06,-5.788909253358927e-07
-0.04000000000000001,0.0,90.0,-2.4492935982947068e-18,-0.0,-0.04000000000000001,190560611483648,0.011613791590718368,0.00021458233140905967,2.0035285984192247e-05,0.0033469222716081756,0.0050154701689424696,-0.00042223719797093137,0.0002424492484878247,-3.900033279265308e-06,2.851587245046204e-07,8.37884349389958e-06,-1.0971926716532393e-06,2.8816222979457114e-06,-5.356173549401283e-06,2.0771243098203243e-06,1.0510770674900368e-06
-0.03,0.0,90.0,-1.8369701987210296e-18,-0.0,-0.03,190560705806336,0.011569910430763629,0.00021521402913428115,1.8460814322969153e-05,0.003363537448683099,0.0050493199555782685,-2.352676911421181e-05,-0.00020432908398022103,-2.1877382095519731e-07,1.6847638883523518e-06,-3.581310603524942e-06,-2.2520288470842636e-06,4.024629316635927e-06,5.238538400654078e-10,-3.3463565400450822e-06,2.089914578221573e-06
-0.020000000000000004,0.0,90.0,-1.2246467991473534e-18,-0.0,-0.020000000000000004,190560801062912,0.011679297899931365,0.00021643305377903142,1.474864848526368e-05,0.003344690007334759,0.005030344030434072,-0.0005611516797808008,-0.00011748529590640726,-5.1985009255127134e-06,-9.317720710289819e-07,3.021736811602672e-06,-5.3315569182282e-06,8.079827880234957e-06,8.508346402420388e-06,-1.5096312278418692e-06,-2.814293967315336e-06
-0.010000000000000009,0.0,90.0,-6.123233995736772e-19,-0.0,-0.010000000000000009,190560900055040,0.011357295766800918,0.00021039528495583795,2.017656076100114e-05,0.003349587554257091,0.005028705473774243,-0.0004557777534076868,-0.00040191774013722403,-4.220943063325528e-06,-3.4355705391755757e-06,-3.223351374372565e-06,-1.599817818266528e-06,9.029925183898155e-07,-5.9677625826261435e-06,-1.715124076801331e-07,2.607546529582436e-06
