LightIntensity,TcSet,TcReal,x1,y1,dx1,dy1,numMeas,xSensitivity,ySensitivity,xFracErr,yFracErr,localTime,time
403.0,0.009999999999999933,0.01016449591595134,-1.0012322566920545e-07,-2.5551058204301793e-07,2.707530201665725e-06,2.8785792874639257e-06,300,2.7297082517412257e-07,2.902158442940898e-07,-27.041979356628644,-11.265988533419279,2024-06-24 22:46:27,1719283587.9024534
403.0,0.009999999999999933,0.01016449591595134,-2.9588353444326614e-07,2.948087545823133e-07,2.913335040431315e-06,2.7527175164604348e-06,300,2.937198888883918e-07,2.7752657070166136e-07,-9.84622225063331,9.337299091950307,2024-06-24 22:47:14,1719283634.33136
100.0,0.009999999999999933,0.01016449591595134,-2.179079300765717e-08,3.87069795920791e-08,1.5265736992878022e-06,1.6029444674579414e-06,300,1.5390782423307268e-07,1.6160745823669673e-07,-70.05590382834494,41.412284925118875,2024-06-24 22:48:36,1719283716.0299375
100.0,0.009999999999999933,0.01016449591595134,-8.128434681944032e-08,1.4763329938990966e-07,1.4586614685434187e-06,1.5287471771566996e-06,300,1.4706097256940342e-07,1.5412695236948482e-07,-17.94517057243005,10.355029546004886,2024-06-24 22:49:27,1719283767.2128556
0.1,0.009999999999999933,0.01016449591595134,-4.5160756176183334e-08,1.9308697710401184e-09,4.794160543785024e-07,4.5795073574343167e-07,300,4.8334306994954354e-08,4.617019235762329e-08,-10.615766762367336,237.17328978470846,2024-06-24 22:50:21,1719283821.4293933
50.0,0.009999999999999933,0.01016449591595134,-1.663719723275957e-08,-5.4250347780586224e-08,1.152343367075822e-06,1.2185419594018101e-06,300,1.161782496834543e-07,1.2285233382163793e-07,-69.26307063348348,-22.461458944561308,2024-06-24 22:52:25,1719283945.5915012
50.0,0.009999999999999933,0.01016449591595134,1.0989256735389211e-08,-9.093198917364297e-08,1.1327005960485011e-06,1.060441948461069e-06,300,1.1419788270075716e-07,1.0691282909516024e-07,103.07344921707153,-11.66192401703715,2024-06-24 22:53:21,1719284001.2303047
300.0,0.009999999999999933,0.01016449591595134,2.649401891178897e-07,1.5536869557744142e-07,2.472627425078957e-06,2.6369638473007566e-06,300,2.4928813283660637e-07,2.658563870900398e-07,9.332775949588829,16.97229829664366,2024-06-24 22:54:41,1719284081.2637835
600.0,0.009999999999999933,0.01016449591595134,2.1914705857772792e-08,2.209697240719691e-08,3.7730251200514172e-06,3.644418272834249e-06,300,3.8039309027448634e-07,3.6742706050081477e-07,172.16864075376975,164.92839859126016,2024-06-24 22:56:38,1719284198.8482459
500.0,0.009999999999999933,0.01016449591595134,2.1151340505552413e-07,-1.2381704969886398e-07,3.2915312193032526e-06,3.0907678964095046e-06,300,3.3184929662717155e-07,3.116085141305295e-07,15.561809042028313,-24.962377184132357,2024-06-24 22:58:42,1719284322.9764018
500.0,0.009999999999999933,0.01016449591595134,7.697323154075183e-08,-3.380896375192953e-08,3.2542702692236027e-06,3.0887959319300067e-06,300,3.2809268025267777e-07,3.1140970239766263e-07,42.27794785386786,-91.36026630670466,2024-06-24 22:59:35,1719284375.350106
700.0,0.009999999999999933,0.01016449591595134,-9.639069192907773e-08,3.341143003093322e-07,3.7620635569742224e-06,3.766162847979323e-06,300,3.792879550791193e-07,3.7970124201036117e-07,-39.02932411505325,11.272079179168644,2024-06-24 23:01:06,1719284466.0676694
700.0,0.009999999999999933,0.01016449591595134,-3.988813791820267e-07,2.489307517907443e-07,3.7369660570052706e-06,3.8607970215208715e-06,300,3.767576470987623e-07,3.8924217655853905e-07,-9.36861496184291,15.509522201444712,2024-06-24 23:01:51,1719284511.9578679
201.0,0.009999999999999933,0.01016449591595134,-1.1339527851110494e-07,1.7246511224821338e-07,2.028447141585558e-06,2.1072548981877417e-06,300,2.0450626542228367e-07,2.1245159446665953e-07,-17.888285722468677,12.218441577650562,2024-06-24 23:04:42,1719284682.7028017
200.0,0.009999999999999933,0.01016449591595134,-1.3796278746858416e-08,-1.89928805352265e-08,2.130725302558008e-06,2.1772121874125804e-06,300,2.1481786009286764e-07,2.195046271363969e-07,-154.4420304673244,-114.63306913211288,2024-06-24 23:05:27,1719284727.3286364
1103.0,0.009999999999999933,0.01016449591595134,-2.713434257920486e-07,2.217459467496943e-08,4.688186534232749e-06,4.725727821499245e-06,300,4.7265886305992224e-07,4.7644374278422944e-07,-17.27768609299445,213.11450742473426,2024-06-24 23:07:03,1719284823.613924
