,level_0,level_1,timestamp,x,y,frequency,phase,dio,trigger,auxin0,auxin1,Time,TcSet,TcReal
0,0.5,0,216460957663232,0.0006594744585099026,9.38705132570862e-05,0.5000003611144166,3.170211419351495,526385151,3,-0.008545052262149997,-0.0027466239414053557,1.023010015487671,0.1,0.07115309999965486
1,0.5,0,216461173391360,-0.000634277883681262,-4.9427830892037776e-05,0.5000003611144166,0.11428331252243942,526385151,3,-0.007019150072480354,-0.0030518043793392844,2.0480172634124756,0.1,0.07115309999965486
2,0.5,0,216461390053376,0.0006499766026173068,-1.3378024897004978e-05,0.5000003611144166,3.355538301151726,526385151,3,-0.008239871824216068,-0.0021362630655374993,3.0769975185394287,0.1,0.07115309999965486
3,0.5,0,216461605781504,-0.0006337590568584043,7.314598214115319e-05,0.5000003611144166,0.29961019432267044,526385151,3,-0.007934691386282139,-0.0024414435034714275,4.101000070571899,0.1,0.07115309999965486
4,0.5,0,216461822443520,0.0006382298777685233,-0.0001344820522189512,0.5000003611144166,3.54096105821414,526385151,3,-0.008239871824216068,-0.0030518043793392844,5.135995149612427,0.1,0.07115309999965486
5,0.5,0,216462039105536,-0.0006114955472345005,0.00019396153645507864,0.5000003611144166,0.49893486440165663,526385151,3,-0.007934691386282139,-0.0021362630655374993,6.165999174118042,0.1,0.07115309999965486
6,0.5,0,216462254833664,0.0005951022707167981,-0.00024959767668603945,0.5000003611144166,3.726287940014371,526385151,3,-0.008545052262149997,-0.0027466239414053557,7.187994718551636,0.1,0.07115309999965486
7,0.5,0,216462469627904,-0.0005725519936125895,0.00028821717818086325,0.5000003611144166,0.6563620449065606,526385151,3,-0.009155413138017853,-0.003356984817273213,8.211996793746948,0.1,0.07115309999965486
8,0.5,0,216462685356032,0.0005394398759198226,-0.00033295436489555084,0.5000003611144166,3.883715120519275,526385151,3,-0.009155413138017853,-0.003356984817273213,9.242015600204468,0.1,0.07115309999965486
9,0.5,0,216462900150272,-0.0005118974545281451,0.0003691024303609352,0.5000003611144166,0.8137892254114646,526385151,3,-0.008545052262149997,-0.0030518043793392844,10.268996477127075,0.1,0.07115309999965486
10,0.5,0,216463117746176,0.0004723934825658246,-0.00043027263448398785,0.5000003611144166,4.069042002319506,526385151,3,-0.008545052262149997,-0.0021362630655374993,11.294997930526733,0.1,0.07115309999965486
11,0.5,0,216463333474304,-0.00044527217778490537,0.00048652730306875943,0.5000003611144166,1.0131138954904508,526385151,3,-0.00946059357595178,-0.0024414435034714275,12.333996057510376,0.1,0.07115309999965486
12,0.5,0,216463549202432,0.00039885874476588724,-0.0005103469288078561,0.5000003611144166,4.2404669711031655,526385151,3,-0.007934691386282139,-0.0027466239414053557,13.357004165649414,0.1,0.07115309999965486
13,0.5,0,216463763996672,-0.0003619705664889588,0.0005398840942003444,0.5000003611144166,1.1705410759953547,526385151,3,-0.008239871824216068,-0.0018310826276035706,14.380024433135986,0.1,0.07115309999965486
14,0.5,0,216463979724800,0.0003155015984108899,-0.0005753861861512082,0.5000003611144166,4.397894151608069,526385151,3,-0.007934691386282139,-0.003356984817273213,15.402994394302368,0.1,0.07115309999965486
15,0.5,0,216464194519040,-0.00027295012808654934,0.0005930317662796808,0.5000003611144166,1.3279682565002586,526385151,3,-0.007934691386282139,-0.0036621652552071412,16.424994468688965,0.1,0.07115309999965486
16,0.5,0,216464407445504,0.00024825780650375066,-0.0006022718572796534,0.5000003611144166,4.513423842538891,526385151,3,-0.008850232700083924,-0.0030518043793392844,17.449994325637817,0.1,0.07115309999965486
17,0.5,0,216464625041408,-0.00017285017483652915,0.0006154876766424054,0.5000003611144166,1.4853954370051627,526385151,3,-0.008850232700083924,-0.0036621652552071412,18.47299361228943,0.1,0.07115309999965486
18,0.5,0,216464838901760,0.00013789183328854294,-0.0006259336302389552,0.5000003611144166,4.684752936060367,526385151,3,-0.008545052262149997,-0.0009155413138017853,19.495996475219727,0.1,0.07115309999965486
19,0.5,0,216465050894336,-0.00011914986701757101,0.0006326509281985136,0.5000003611144166,1.572929551378474,526385151,3,-0.008239871824216068,-0.0027466239414053557,20.510995864868164,0.1,0.07115309999965486
20,0.5,0,216465265688576,7.410712251198549e-05,-0.00063280736395786,0.5000003611144166,4.786284838712433,526385151,3,-0.007934691386282139,-0.0021362630655374993,21.5359947681427,0.1,0.07115309999965486
21,0.5,0,216465483284480,1.8106881054235713e-06,0.0006430276674811608,0.5000003611144166,1.7583523084408883,526385151,3,-0.007629510948348211,-0.0021362630655374993,22.56599712371826,0.1,0.07115309999965486
22,0.5,0,216465698078720,-4.693869299561376e-05,-0.0006343747511662434,0.5000003611144166,4.9717075957748476,526385151,3,-0.008850232700083924,-0.0030518043793392844,23.58799719810486,0.1,0.07115309999965486
23,0.5,0,216465911005184,7.419222129131547e-05,0.0006356148767603906,0.5000003611144166,1.8737861241095268,526385151,3,-0.008239871824216068,-0.0030518043793392844,24.60499382019043,0.1,0.07115309999965486
24,0.5,0,216466126733312,-0.0001243056361800597,-0.0006177306763646254,0.5000003611144166,5.101139199722241,526385151,3,-0.00946059357595178,-0.004882887006942855,25.63099694252014,0.1,0.07115309999965486
25,0.5,0,216466341527552,0.00017344219651776248,0.0006120951825050046,0.5000003611144166,2.0312133046144307,526385151,3,-0.008545052262149997,-0.0018310826276035706,26.652995586395264,0.1,0.07115309999965486
26,0.5,0,216466557255680,-0.0002207444634608699,-0.0005963084146237235,0.5000003611144166,5.258566380227145,526385151,3,-0.007019150072480354,-0.003356984817273213,27.683996200561523,0.1,0.07115309999965486
27,0.5,0,216466772983808,0.0002695162404350389,0.0005722269010797105,0.5000003611144166,2.20263827339809,526385151,3,-0.008545052262149997,-0.0021362630655374993,28.713005781173706,0.1,0.07115309999965486
28,0.5,0,216466986844160,-0.00030558833915117023,-0.000559386732059006,0.5000003611144166,5.401995772453294,526385151,3,-0.008545052262149997,-0.0018310826276035706,29.72599458694458,0.1,0.07115309999965486
29,0.5,0,216467201638400,0.00034188872884953215,0.0005312054494772415,0.5000003611144166,2.3321657526076667,526385151,3,-0.008545052262149997,-0.0018310826276035706,30.75300121307373,0.1,0.07115309999965486
30,0.5,0,216467417366528,-0.0003799927526210101,-0.0004963665550999525,0.5000003611144166,5.559422952958198,526385151,3,-0.00946059357595178,-0.0030518043793392844,31.77799654006958,0.1,0.07115309999965486
31,0.5,0,216467634962432,0.0004402368399365822,0.00045035078624792844,0.5000003611144166,2.531490422686653,526385151,3,-0.008850232700083924,-0.0036621652552071412,32.81100559234619,0.1,0.07115309999965486
32,0.5,0,216467850690560,-0.00048176156128081266,-0.0004156859271619329,0.5000003611144166,5.758747623037184,526385151,3,-0.007629510948348211,-0.003356984817273213,33.83800983428955,0.1,0.07115309999965486
33,0.5,0,216468066418688,0.0005200570321682632,0.0003757181591389505,0.5000003611144166,2.702819516208129,526385151,3,-0.007934691386282139,-0.0042725261310749985,34.86099457740784,0.1,0.07115309999965486
34,0.5,0,216468281212928,-0.0005383091436339625,-0.00032932445908482764,0.5000003611144166,5.916174803542088,526385151,3,-0.007934691386282139,-0.0027466239414053557,35.893996715545654,0.1,0.07115309999965486
35,0.5,0,216468496007168,0.0005653567481775128,0.0002962872846399722,0.5000003611144166,2.846344783696461,526385151,3,-0.007019150072480354,-0.0027466239414053557,36.90999674797058,0.1,0.07115309999965486
36,0.5,0,216468709867520,-0.0005699100541586043,-0.0002619195294084293,0.5000003611144166,6.045702282751665,526385151,3,-0.007934691386282139,-0.0024414435034714275,37.93499732017517,0.1,0.07115309999965486
37,0.5,0,216468925595648,0.0005910022913344046,0.00021000635015493732,0.5000003611144166,2.9897741759226095,526385151,3,-0.007629510948348211,-0.0030518043793392844,38.95801091194153,0.1,0.07115309999965486
38,0.5,0,216469139456000,-0.0005997186908256113,-0.00017294731314285364,0.5000003611144166,6.189131674977814,526385151,3,-0.007934691386282139,-0.0024414435034714275,39.97800922393799,0.1,0.07115309999965486
39,0.5,0,216469354250240,0.0006010945133150628,0.0001304957909489206,0.5000003611144166,3.1192057798700032,526385151,3,-0.008239871824216068,-0.0030518043793392844,40.99400615692139,0.1,0.07115309999965486
40,0.5,0,216469568110592,-0.0006184197403044594,-9.43286478518418e-05,0.5000003611144166,0.03537797174562093,526385151,3,-0.007019150072480354,-0.0024414435034714275,42.02400016784668,0.1,0.07115309999965486
41,0.5,0,216469785706496,0.0006292461638102579,2.4225948298213205e-05,0.5000003611144166,3.2906307486536623,526385151,3,-0.007934691386282139,-0.0024414435034714275,43.055997133255005,0.1,0.07115309999965486
42,0.5,0,216469999566848,-0.0006310845066738121,1.5400020469904385e-05,0.5000003611144166,0.20670706526709678,526385151,3,-0.007934691386282139,-0.0027466239414053557,44.0770001411438,0.1,0.07115309999965486
43,0.5,0,216470214361088,0.0006166892545717168,-5.2806765271605514e-05,0.5000003611144166,3.420062352601056,526385151,3,-0.008239871824216068,-0.0021362630655374993,45.10299468040466,0.1,0.07115309999965486
44,0.5,0,216470431956992,-0.0006132216501019314,0.00012621073027193285,0.5000003611144166,0.3921298223295111,526385151,3,-0.006713969634546426,-0.0030518043793392844,46.133997440338135,0.1,0.07115309999965486
