,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,xSensitivity,ySensitivity
0,50.0,0.09999999999999869,0.07115309999965481,4.624347159754211e-08,1.2165787821651666e-08,5.623991155526906e-07,5.691063509531787e-07,1.5001736815990632e-07,1.5180649224382554e-07
1,62.9462706,0.09999999999999869,0.07115309999965481,8.435721924540062e-09,4.168785007895578e-08,5.392692549221083e-07,5.379398799292576e-07,1.4384758459917756e-07,1.4349297995594468e-07
2,79.2446596,0.09999999999999869,0.07115309999965481,1.2387311296571904e-08,5.526029892053222e-09,5.002990352999092e-07,4.982994216908594e-07,1.3345245839313694e-07,1.3291907069271073e-07
3,99.7631157,0.09999999999999869,0.07115309999965481,1.5647753963305335e-08,-2.5603608875842857e-08,5.719377833414276e-07,5.677893457843916e-07,1.525617637641059e-07,1.5145518719406517e-07
4,125.594322,0.09999999999999869,0.07115309999965481,4.0391363920972347e-08,5.635346037883761e-09,4.3907559917419323e-07,4.63168981789217e-07,1.1712138940086086e-07,1.2354818800352843e-07
5,158.113883,0.09999999999999869,0.07115309999965481,1.4906252478364933e-08,1.2480702243491104e-08,4.211065488187992e-07,4.351966512571818e-07,1.1232822815984448e-07,1.1608669794839023e-07
6,199.053585,0.09999999999999869,0.07115309999965481,6.165656488690938e-09,-6.410388668858348e-09,4.900689674533642e-07,4.57251320896575e-07,1.3072363501487154e-07,1.2196967927507048e-07
7,250.593617,0.09999999999999869,0.07115309999965481,4.3389806697782226e-08,1.8024974376506694e-08,4.4071232488964044e-07,4.2107418706315223e-07,1.175579784306813e-07,1.1231959581090058e-07
8,12559.4322,0.09999999999999869,0.07115309999965481,2.6413777393477386e-08,1.3672489269770662e-08,2.2137257827157987e-07,2.1842112004005037e-07,5.905011344557119e-08,5.826282558560928e-08
9,15811.3883,0.09999999999999869,0.07115309999965481,2.527949900582259e-08,1.6610082756508453e-08,2.3451235977581535e-07,2.139614773614167e-07,6.255508951141094e-08,5.7073236485838484e-08
10,19905.3585,0.09999999999999869,0.07115309999965481,1.2844445418257964e-08,7.620168498390365e-09,2.174078662335802e-07,2.1714200125314284e-07,5.799254480969575e-08,5.792162655333986e-08
11,25059.3617,0.09999999999999869,0.07115309999965481,1.339915218415484e-08,1.7448632624388644e-08,2.785369676718029e-07,2.6608673949984685e-07,7.429845045951172e-08,7.097740956222712e-08
12,31547.8672,0.09999999999999869,0.07115309999965481,1.9705869741117177e-08,4.040826517731978e-09,3.046768224497706e-07,2.846703685157754e-07,8.12711360655677e-08,7.59345068241777e-08
13,39716.4117,0.09999999999999869,0.07115309999965481,1.6731631884032368e-08,-1.072478799498769e-09,2.141906738007455e-07,2.1178488213672796e-07,5.7134373578107805e-08,5.6492639756349794e-08
14,50000.0,0.09999999999999869,0.07115309999965481,1.576628895421945e-08,1.0332717190033668e-08,2.091490712250455e-07,2.1278384692870593e-07,5.5789549361996706e-08,5.6759109003602554e-08
15,62946.2706,0.09999999999999869,0.07115309999965481,2.1251627181999267e-08,3.839420668403358e-09,2.253906741867614e-07,2.2695362004767118e-07,6.012192198427635e-08,6.053883057845094e-08
