,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,xSensitivity,ySensitivity
0,0.5,0.010000000000000005,0.010164495915951288,1.1573161751058296e-06,8.101630593039827e-07,0.0001260344228638186,0.00012549191506539643,1.2706680201873627e-05,1.2651985040465053e-05
1,0.6294627058970836,0.010000000000000005,0.010164495915951288,4.58799764787345e-06,-5.836310716343301e-06,0.00012401835223491188,0.0001238687761099712,1.2503421725627117e-05,1.248834159162666e-05
2,0.7924465962305567,0.010000000000000005,0.010164495915951288,6.093523548358681e-07,-1.193954460486934e-06,0.0001231961457766952,0.00012280976923508149,1.2420527590143487e-05,1.238157344539292e-05
3,0.9976311574844399,0.010000000000000005,0.010164495915951288,6.283811941835431e-07,1.4191702299328805e-07,0.00012351257723010718,0.00012297642279124403,1.2452429932320788e-05,1.2398375311062194e-05
4,1.25594321575479,0.010000000000000005,0.010164495915951288,-9.617178787078841e-08,4.14594485066386e-06,0.00012214711046626043,0.00012102555954269052,1.2314764768310512e-05,1.2201690985830329e-05
5,1.5811388300841898,0.010000000000000005,0.010164495915951288,-1.7956316187030237e-06,1.4601974315582435e-06,0.00012153273037725198,0.00012054137226341505,1.225282350547104e-05,1.2152875648117263e-05
6,1.9905358527674866,0.010000000000000005,0.010164495915951288,9.245540571319745e-07,-1.645944681767955e-06,0.00011699750718783911,0.0001170884353455081,1.1795586272955144e-05,1.180475357022673e-05
7,2.505936168136362,0.010000000000000005,0.010164495915951288,-6.375189923712543e-07,2.198837806421828e-07,0.00011347617509173847,0.00011332883405721816,1.1440568653061799e-05,1.1425713858921267e-05
8,3.1547867224009667,0.010000000000000005,0.010164495915951288,2.433158073868708e-06,-2.1544057015840503e-06,0.00010772619031992691,0.00010731992776896963,1.0860860221024955e-05,1.0819901186217541e-05
9,3.9716411736214075,0.010000000000000005,0.010164495915951288,3.1644158256805535e-07,9.165770119364318e-08,0.00011360345234635711,7.948342105790089e-05,1.145340063447341e-05,8.013448943427917e-06
10,5.0,0.010000000000000005,0.010164495915951288,-1.5574644297769044e-07,-8.357116181489052e-07,8.349727248010035e-05,8.573433455122767e-05,8.41812193070246e-06,8.64366057073154e-06
11,6.294627058970837,0.010000000000000005,0.010164495915951288,2.201468759390023e-07,-2.692871580406868e-06,6.754942709361468e-05,6.734824892264677e-05,6.81027411714157e-06,6.789991510025187e-06
12,7.92446596230557,0.010000000000000005,0.010164495915951288,1.9527408622769374e-05,4.9222081934961295e-05,3.3193798419521116e-05,2.7994719561577193e-05,3.3465697038820385e-06,2.8224031239025554e-06
13,9.976311574844399,0.010000000000000005,0.010164495915951288,-1.2103921586437412e-06,2.3438955706689578e-06,3.1806944171047376e-05,3.136737637581402e-05,3.206748272391003e-06,3.162431432005991e-06
14,12.559432157547905,0.010000000000000005,0.010164495915951288,-1.639573658429204e-06,5.356376783923255e-07,1.642980731766e-05,1.7538428822014296e-05,1.6564387936261265e-06,1.7682090433774272e-06
15,15.811388300841898,0.010000000000000005,0.010164495915951288,-2.3989894585951058e-06,2.7522828254345986e-07,6.48351803623108e-06,8.095515742947174e-06,6.536626137327953e-07,8.161828116276776e-07
16,19.905358527674867,0.010000000000000005,0.010164495915951288,8.633842452312793e-10,5.615079119856375e-08,2.5237349245398307e-06,2.9301838874146057e-06,2.5444074620056295e-07,2.9541857489434286e-07
17,25.059361681363622,0.010000000000000005,0.010164495915951288,-9.172055506384308e-08,-4.333396997912246e-09,8.906265884785112e-07,8.696352249269794e-07,8.979219313211101e-08,8.767586223147456e-08
18,31.547867224009668,0.010000000000000005,0.010164495915951288,-1.9293869598808865e-08,8.371273942614083e-08,4.0645085687382526e-07,4.3132428676357295e-07,4.097801964510641e-08,4.348573707619468e-08
19,39.716411736214084,0.010000000000000005,0.010164495915951288,3.886487152114634e-08,-5.319050292518592e-10,3.1057546749091397e-07,2.970866196283135e-07,3.131194680217283e-08,2.9952012966739726e-08
20,50.0,0.010000000000000005,0.010164495915951288,1.8980718243911908e-08,4.448261001658349e-09,2.8372792176019337e-07,2.844425427287428e-07,2.8605200739836724e-08,2.8677248200415988e-08
21,62.94627058970838,0.010000000000000005,0.010164495915951288,-3.335940677144465e-08,1.3853114305186201e-08,2.3592237043403745e-07,2.327549419981617e-07,2.3785486896801364e-08,2.3466149534178758e-08
22,79.24465962305571,0.010000000000000005,0.010164495915951288,3.9951715622467676e-08,1.3628765096849241e-09,2.0412461160868786e-07,1.8542441080955988e-07,2.0579664682924164e-08,1.869432680565163e-08
23,99.76311574844404,0.010000000000000005,0.010164495915951288,4.124040037173053e-08,2.132642960179474e-08,1.75668777062729e-07,1.6840420054905267e-07,1.7710772349885778e-08,1.697836410407608e-08
24,125.5943215754791,0.010000000000000005,0.010164495915951288,1.6499182727085193e-08,3.3262099381660727e-09,2.005846973489978e-07,1.823860505344484e-07,2.022277362556172e-08,1.838800198203075e-08
25,158.11388300841895,0.010000000000000005,0.010164495915951288,3.258706008908459e-09,3.8663645976271385e-08,1.1502995711222155e-07,1.3947344515382732e-07,1.1597219596423777e-08,1.4061590666687717e-08
26,199.05358527674866,0.010000000000000005,0.010164495915951288,1.2422095443129446e-08,3.503529177340994e-08,1.1664778765871356e-07,1.2701525787779968e-07,1.1760327856119691e-08,1.2805567129510249e-08
27,250.59361681363626,0.010000000000000005,0.010164495915951288,1.869553599950941e-08,2.2852914674498006e-08,1.1093617537441013e-07,1.0657679544185192e-07,1.1184488104688011e-08,1.0744979235421908e-08
28,315.47867224009684,0.010000000000000005,0.010164495915951288,-1.1347305603419434e-08,1.969548937859069e-08,7.790788868220379e-08,8.933425798902218e-08,7.854605148290197e-09,9.006601700907622e-09
29,397.16411736214104,0.010000000000000005,0.010164495915951288,1.466261692538609e-08,5.428048719643349e-09,7.080455176112057e-08,8.281075928749514e-08,7.138452937081258e-09,8.348908271492648e-09
30,500.0,0.010000000000000005,0.010164495915951288,1.0381005106829045e-08,9.938023280352315e-09,6.814025136582438e-08,8.674363021324665e-08,6.869840503148552e-09,8.745416875993245e-09
31,629.4627058970838,0.010000000000000005,0.010164495915951288,-2.116031006190223e-09,1.5321005772174273e-08,8.275188153614064e-08,7.265834293190383e-08,8.342972268133664e-09,7.325350540394377e-09
32,792.4465962305571,0.010000000000000005,0.010164495915951288,1.051591292147426e-08,9.306749755573628e-09,6.45705281678633e-08,7.587942398534305e-08,6.509944134719807e-09,7.650097112960435e-09
33,997.6311574844403,0.010000000000000005,0.010164495915951288,1.1593757976483308e-08,1.6870727740093133e-08,5.0929469411938876e-08,6.737243399990737e-08,5.134664530243916e-09,6.7924298283466824e-09
34,1255.9432157547913,0.010000000000000005,0.010164495915951288,4.428291748858541e-09,1.4682714044109945e-08,5.714173647922067e-08,5.536205284282792e-08,5.7609798586988535e-09,5.581553712140586e-09
35,1581.1388300841897,0.010000000000000005,0.010164495915951288,1.5293661301727495e-08,6.692281609946125e-09,4.0169117325019586e-08,4.733285088349424e-08,4.049815250807113e-09,4.772056598135878e-09
36,1990.5358527674866,0.010000000000000005,0.010164495915951288,9.595164912934377e-09,1.1976042776042624e-08,4.7067929677999114e-08,4.879280415587151e-08,4.745347474069362e-09,4.919247809237162e-09
