,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,xSensitivity,ySensitivity
0,0.5,0.1,0.07115309999965481,1.2277088549466813e-07,-7.29629415310308e-09,0.0004360927889329131,0.00043660715154761543,0.00011632573853701213,0.00011646294239029638
1,0.6294627058970836,0.10000000000000002,0.07115309999965483,-1.2725472710278002e-09,-4.188496681533463e-07,0.00039058621137686236,0.00039012055671127423,0.00010418706902254382,0.00010406285778986031
2,0.7924465962305567,0.1,0.07115309999965484,-1.0562205727791549e-07,-2.0278054635183437e-07,0.00033085013515169706,0.00033118840342281935,8.825274641840512e-05,8.834297791835315e-05
3,0.9976311574844399,0.10000000000000002,0.07115309999965483,-3.5888529444660117e-06,-6.44039689085958e-06,0.00025648718814384454,0.00025699541973396193,6.841677354748504e-05,6.855234197826076e-05
4,1.25594321575479,0.10000000000000002,0.07115309999965483,-2.1889805208437164e-07,4.1090784497338065e-07,0.00017306273920839307,0.00017353817522277012,4.61636868633286e-05,4.629050722565294e-05
5,1.5811388300841898,0.10000000000000002,0.07115309999965483,-1.5191096920837467e-07,-1.3968393039232584e-07,0.00010233706439685354,0.00010201889451745979,2.7297939561906155e-05,2.721306921518184e-05
6,1.9905358527674866,0.10000000000000002,0.07115309999965483,-3.258531793470947e-07,2.921768273014211e-07,5.0127082177831796e-05,5.021079962171539e-05,1.337116779506944e-05,1.3393499036803612e-05
7,2.505936168136362,0.10000000000000002,0.07115309999965483,-2.2620710057586982e-08,-1.2589233720119315e-07,1.9720330242788063e-05,2.0019030614823406e-05,5.260307067446133e-06,5.339984012949666e-06
8,3.1547867224009667,0.10000000000000002,0.07115309999965483,1.025010605817467e-07,1.889638415500161e-08,6.868197860382804e-06,6.698558262605273e-06,1.8320600771279057e-06,1.7868094974407725e-06
9,3.9716411736214075,0.10000000000000002,0.07115309999965483,6.195348553446248e-08,-3.820929618664737e-08,2.5046428817727123e-06,2.487693894789633e-06,6.68101927818169e-07,6.635808637733237e-07
10,5.0,0.10000000000000002,0.07115309999965483,5.416564773626941e-08,4.804992312366928e-09,1.6100845668143264e-06,1.6549631558076028e-06,4.294826263924636e-07,4.414537828564725e-07
11,6.294627058970837,0.1,0.07115309999965481,1.2050093834790524e-08,-9.494410459170974e-09,1.3302482799719e-06,1.3535996920926309e-06,3.5483758854156677e-07,3.610664699396585e-07
12,7.92446596230557,0.10000000000000002,0.07115309999965483,1.1608299681230316e-08,2.344876696692915e-09,1.1744794265529976e-06,1.1295846257865967e-06,3.132869658877148e-07,3.0131148500805505e-07
13,9.976311574844399,0.10000000000000002,0.07115309999965483,3.8588418547969736e-08,7.401483995891943e-09,1.08351976127488e-06,1.0978161608181515e-06,2.8902389502509576e-07,2.9283739361414737e-07
14,12.559432157547905,0.10000000000000002,0.07115309999965483,1.9539238921903275e-08,-6.959914820080242e-08,9.511079108971207e-07,9.541115018598242e-07,2.537036451215489e-07,2.5450483914691796e-07
15,15.811388300841898,0.10000000000000002,0.07115309999965483,1.7542377441186772e-08,1.4892473985072916e-09,8.874153723105299e-07,8.827527468377458e-07,2.367139544446822e-07,2.3547022062149683e-07
16,19.905358527674867,0.10000000000000002,0.07115309999965483,5.031461327024234e-08,5.5205610551086616e-08,8.318096337666075e-07,8.198846565612682e-07,2.2188138035226158e-07,2.187004477258761e-07
17,25.059361681363622,0.10000000000000002,0.07115309999965483,-3.719802897619481e-09,-7.898663725275844e-09,7.364163680325783e-07,7.620172234094414e-07,1.9643566703257748e-07,2.0326457703629456e-07
