,Freqs,TcSet,TcReal,x1,y1,dx1,dy1,xSensitivity,ySensitivity
0,12559.4322,0.09999999999999981,0.07115309999965477,4.408936367400562e-08,6.0340713922630944e-09,2.034039017448281e-07,2.1901862086587547e-07,5.425705192161962e-08,5.842220617296237e-08
1,15811.3883,0.09999999999999981,0.07115309999965477,-2.8756860524572467e-09,-2.5410240245716164e-09,2.213169253059198e-07,2.318057768416785e-07,5.903526827386352e-08,6.183312100673661e-08
2,19905.3585,0.09999999999999981,0.07115309999965477,-8.085809910438953e-09,8.578407166709382e-09,2.39050162767992e-07,1.7251730427510105e-07,6.376552751404805e-08,4.601819461248368e-08
3,25059.3617,0.09999999999999981,0.07115309999965477,4.3619338664560924e-08,-2.106240777421298e-09,2.7788314666612966e-07,2.5790279418392227e-07,7.412404672414598e-08,6.879437992454168e-08
4,31547.8672,0.09999999999999981,0.07115309999965477,-1.1925723973378133e-08,9.016779199432196e-08,3.079039064215576e-07,2.943303081258935e-07,8.213194581951394e-08,7.851125112696594e-08
5,39716.4117,0.09999999999999981,0.07115309999965477,-2.1727833676857478e-08,-1.942504899951336e-08,1.9783386822207607e-07,2.093263646098438e-07,5.277127118950639e-08,5.583684155404338e-08
6,50000.0,0.09999999999999981,0.07115309999965477,1.1387815088367435e-08,-1.9973448223034052e-08,2.2957664415590753e-07,2.3098904922032375e-07,6.12385101520059e-08,6.161526268357988e-08
7,62946.2706,0.09999999999999981,0.07115309999965477,2.4912368389347022e-08,-4.297902746600414e-08,2.0995165319757095e-07,2.1383479133865724e-07,5.60036343986215e-08,5.703944357402291e-08
